Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown0_6,Unknown0_7,Unknown0_8,Unknown0_9,Unknown0_10,Unknown0_11,Unknown0_12,Unknown0_13,Unknown0_14,Unknown0_15,Unknown0_16,Unknown0_17,Unknown0_18,Unknown0_19,Unknown0_20,Unknown1_0,Unknown1_1,Unknown1_2,Unknown1_3,Unknown1_4,Unknown1_5,Unknown1_6,Unknown1_7
"370","489","734","734","734","489","734","734","489","734","0","734","0","0","489","489","474","54","0","734","489","126","0","488","488","488","488","0","489","0"
"371","491","736","736","736","491","736","736","491","736","0","736","0","0","491","491","476","54","0","736","491","126","0","489","489","489","489","0","491","0"
"372","492","738","738","738","492","738","738","492","738","0","738","0","0","492","492","477","54","0","738","492","126","0","491","491","491","491","0","492","0"
"373","493","740","740","740","493","740","740","493","740","0","740","0","0","493","493","478","54","0","740","493","126","0","492","492","492","492","0","493","0"
"374","495","742","742","742","495","742","742","495","742","0","742","0","0","495","495","480","54","0","742","495","126","0","493","493","493","493","0","495","0"
"375","496","744","744","744","496","744","744","496","744","0","744","0","0","496","496","481","54","0","744","496","126","0","495","495","495","495","0","496","0"
"376","498","746","746","746","498","746","746","498","746","0","746","0","0","498","498","483","54","0","746","498","126","0","496","496","496","496","0","498","0"
"377","499","748","748","748","499","748","748","499","748","0","748","0","0","499","499","484","54","0","748","499","126","0","498","498","498","498","0","499","0"
"378","500","750","750","750","500","750","750","500","750","0","750","0","0","500","500","485","54","0","750","500","126","0","499","499","499","499","0","500","0"
"379","502","752","752","752","502","752","752","502","752","0","752","0","0","502","502","487","54","0","752","502","126","0","500","500","500","500","0","502","0"
"380","503","754","754","754","503","754","754","503","754","0","754","0","0","503","503","488","54","0","754","503","126","0","502","502","502","502","0","503","0"
"381","504","756","756","756","504","756","756","504","756","0","756","0","0","504","504","489","54","0","756","504","126","0","503","503","503","503","0","504","0"
"382","506","759","759","759","506","759","759","506","759","0","759","0","0","506","506","491","54","0","759","506","126","0","504","504","504","504","0","506","0"
"383","507","761","761","761","507","761","761","507","761","0","761","0","0","507","507","492","54","0","761","507","126","0","506","506","506","506","0","507","0"
"384","509","763","763","763","509","763","763","509","763","0","763","0","0","509","509","494","54","0","763","509","126","0","507","507","507","507","0","509","0"
"385","510","765","765","765","510","765","765","510","765","0","765","0","0","510","510","495","54","0","765","510","126","0","509","509","509","509","0","510","0"
"386","511","767","767","767","511","767","767","511","767","0","767","0","0","511","511","496","54","0","767","511","126","0","510","510","510","510","0","511","0"
"387","513","769","769","769","513","769","769","513","769","0","769","0","0","513","513","498","54","0","769","513","126","0","511","511","511","511","0","513","0"
"388","514","771","771","771","514","771","771","514","771","0","771","0","0","514","514","499","54","0","771","514","126","0","513","513","513","513","0","514","0"
"389","516","773","773","773","516","773","773","516","773","0","773","0","0","516","516","501","54","0","773","516","126","0","514","514","514","514","0","516","0"
"390","517","775","775","775","517","775","775","517","775","0","775","0","0","517","517","502","54","0","775","517","126","0","516","516","516","516","0","517","0"
"391","518","777","777","777","518","777","777","518","777","0","777","0","0","518","518","503","54","0","777","518","126","0","517","517","517","517","0","518","0"
"392","520","779","779","779","520","779","779","520","779","0","779","0","0","520","520","505","54","0","779","520","126","0","518","518","518","518","0","520","0"
"393","521","781","781","781","521","781","781","521","781","0","781","0","0","521","521","506","54","0","781","521","126","0","520","520","520","520","0","521","0"
"394","523","784","784","784","523","784","784","523","784","0","784","0","0","523","523","508","54","0","784","523","126","0","521","521","521","521","0","523","0"
"395","524","786","786","786","524","786","786","524","786","0","786","0","0","524","524","509","54","0","786","524","126","0","523","523","523","523","0","524","0"
"396","525","788","788","788","525","788","788","525","788","0","788","0","0","525","525","510","54","0","788","525","126","0","524","524","524","524","0","525","0"
"397","527","790","790","790","527","790","790","527","790","0","790","0","0","527","527","512","54","0","790","527","126","0","525","525","525","525","0","527","0"
"398","528","792","792","792","528","792","792","528","792","0","792","0","0","528","528","513","54","0","792","528","126","0","527","527","527","527","0","528","0"
"399","529","794","794","794","529","794","794","529","794","0","794","0","0","529","529","514","54","0","794","529","126","0","528","528","528","528","0","529","0"
"400","531","796","796","796","531","796","796","531","796","0","796","0","0","531","531","516","54","0","796","531","126","0","530","530","530","530","0","531","0"
"401","532","798","798","798","532","798","798","532","798","0","798","0","0","532","532","517","54","0","798","532","126","0","531","531","531","531","0","532","0"
"402","534","800","800","800","534","800","800","534","800","0","800","0","0","534","534","519","54","0","800","534","126","0","532","532","532","532","0","534","0"
"403","535","802","802","802","535","802","802","535","802","0","802","0","0","535","535","520","54","0","802","535","126","0","534","534","534","534","0","535","0"
"404","536","804","804","804","536","804","804","536","804","0","804","0","0","536","536","521","54","0","804","536","126","0","535","535","535","535","0","536","0"
"405","538","807","807","807","538","807","807","538","807","0","807","0","0","538","538","523","54","0","807","538","126","0","537","537","537","537","0","538","0"
"406","539","809","809","809","539","809","809","539","809","0","809","0","0","539","539","524","54","0","809","539","126","0","538","538","538","538","0","539","0"
"407","541","811","811","811","541","811","811","541","811","0","811","0","0","541","541","526","54","0","811","541","126","0","539","539","539","539","0","541","0"
"408","542","813","813","813","542","813","813","542","813","0","813","0","0","542","542","527","54","0","813","542","126","0","541","541","541","541","0","542","0"
"409","543","815","815","815","543","815","815","543","815","0","815","0","0","543","543","528","54","0","815","543","126","0","542","542","542","542","0","543","0"
"410","545","817","817","817","545","817","817","545","817","0","817","0","0","545","545","530","54","0","817","545","126","0","544","544","544","544","0","545","0"
"411","546","819","819","819","546","819","819","546","819","0","819","0","0","546","546","531","54","0","819","546","126","0","545","545","545","545","0","546","0"
"412","548","821","821","821","548","821","821","548","821","0","821","0","0","548","548","533","54","0","821","548","126","0","546","546","546","546","0","548","0"
"413","549","823","823","823","549","823","823","549","823","0","823","0","0","549","549","534","54","0","823","549","126","0","548","548","548","548","0","549","0"
"414","550","825","825","825","550","825","825","550","825","0","825","0","0","550","550","535","54","0","825","550","126","0","549","549","549","549","0","550","0"
"415","552","827","827","827","552","827","827","552","827","0","827","0","0","552","552","537","54","0","827","552","126","0","551","551","551","551","0","552","0"
"416","553","829","829","829","553","829","829","553","829","0","829","0","0","553","553","538","54","0","829","553","126","0","552","552","552","552","0","553","0"
"417","555","832","832","832","555","832","832","555","832","0","832","0","0","555","555","540","54","0","832","555","126","0","553","553","553","553","0","555","0"
"418","556","834","834","834","556","834","834","556","834","0","834","0","0","556","556","541","54","0","834","556","126","0","555","555","555","555","0","556","0"
"419","557","836","836","836","557","836","836","557","836","0","836","0","0","557","557","542","54","0","836","557","126","0","556","556","556","556","0","557","0"
"420","559","838","838","838","559","838","838","559","838","0","838","0","0","559","559","544","54","0","838","559","126","0","558","558","558","558","0","559","0"
"421","560","840","840","840","560","840","840","560","840","0","840","0","0","560","560","545","54","0","840","560","126","0","559","559","559","559","0","560","0"
"422","561","842","842","842","561","842","842","561","842","0","842","0","0","561","561","546","54","0","842","561","126","0","560","560","560","560","0","561","0"
"423","563","844","844","844","563","844","844","563","844","0","844","0","0","563","563","548","54","0","844","563","126","0","562","562","562","562","0","563","0"
"424","564","846","846","846","564","846","846","564","846","0","846","0","0","564","564","549","54","0","846","564","126","0","563","563","563","563","0","564","0"
"425","566","848","848","848","566","848","848","566","848","0","848","0","0","566","566","551","54","0","848","566","126","0","565","565","565","565","0","566","0"
"426","567","850","850","850","567","850","850","567","850","0","850","0","0","567","567","552","54","0","850","567","126","0","566","566","566","566","0","567","0"
"427","568","852","852","852","568","852","852","568","852","0","852","0","0","568","568","553","54","0","852","568","126","0","567","567","567","567","0","568","0"
"428","570","854","854","854","570","854","854","570","854","0","854","0","0","570","570","555","54","0","854","570","126","0","569","569","569","569","0","570","0"
"429","571","857","857","857","571","857","857","571","857","0","857","0","0","571","571","556","54","0","857","571","126","0","570","570","570","570","0","571","0"
"430","573","859","859","859","573","859","859","573","859","0","859","0","0","573","573","558","54","0","859","573","126","0","572","572","572","572","0","573","0"
"431","574","861","861","861","574","861","861","574","861","0","861","0","0","574","574","559","54","0","861","574","126","0","573","573","573","573","0","574","0"
"432","575","863","863","863","575","863","863","575","863","0","863","0","0","575","575","560","54","0","863","575","126","0","574","574","574","574","0","575","0"
"433","577","865","865","865","577","865","865","577","865","0","865","0","0","577","577","562","54","0","865","577","126","0","576","576","576","576","0","577","0"
"434","578","867","867","867","578","867","867","578","867","0","867","0","0","578","578","563","54","0","867","578","126","0","577","577","577","577","0","578","0"
"435","580","869","869","869","580","869","869","580","869","0","869","0","0","580","580","565","54","0","869","580","126","0","579","579","579","579","0","580","0"
"436","581","871","871","871","581","871","871","581","871","0","871","0","0","581","581","566","54","0","871","581","126","0","580","580","580","580","0","581","0"
"437","582","873","873","873","582","873","873","582","873","0","873","0","0","582","582","567","54","0","873","582","126","0","581","581","581","581","0","582","0"
"438","584","875","875","875","584","875","875","584","875","0","875","0","0","584","584","569","54","0","875","584","126","0","583","583","583","583","0","584","0"
"439","585","877","877","877","585","877","877","585","877","0","877","0","0","585","585","570","54","0","877","585","126","0","584","584","584","584","0","585","0"
"440","586","879","879","879","586","879","879","586","879","0","879","0","0","586","586","571","54","0","879","586","126","0","586","586","586","586","0","586","0"
"441","588","882","882","882","588","882","882","588","882","0","882","0","0","588","588","573","54","0","882","588","126","0","587","587","587","587","0","588","0"
"442","589","884","884","884","589","884","884","589","884","0","884","0","0","589","589","574","54","0","884","589","126","0","588","588","588","588","0","589","0"
"443","591","886","886","886","591","886","886","591","886","0","886","0","0","591","591","576","54","0","886","591","126","0","590","590","590","590","0","591","0"
"444","592","888","888","888","592","888","888","592","888","0","888","0","0","592","592","577","54","0","888","592","126","0","591","591","591","591","0","592","0"
"445","593","890","890","890","593","890","890","593","890","0","890","0","0","593","593","578","54","0","890","593","126","0","593","593","593","593","0","593","0"
"446","595","892","892","892","595","892","892","595","892","0","892","0","0","595","595","580","54","0","892","595","126","0","594","594","594","594","0","595","0"
"447","596","894","894","894","596","894","894","596","894","0","894","0","0","596","596","581","54","0","894","596","126","0","595","595","595","595","0","596","0"
"448","598","896","896","896","598","896","896","598","896","0","896","0","0","598","598","583","54","0","896","598","126","0","597","597","597","597","0","598","0"
"449","599","898","898","898","599","898","898","599","898","0","898","0","0","599","599","584","54","0","898","599","126","0","598","598","598","598","0","599","0"
"450","600","900","900","900","600","900","900","600","900","0","900","0","0","600","600","585","54","0","900","600","126","0","600","600","600","600","0","600","0"
"451","602","902","902","902","602","902","902","602","902","0","902","0","0","602","602","587","54","0","902","602","126","0","601","601","601","601","0","602","0"
"452","603","904","904","904","603","904","904","603","904","0","904","0","0","603","603","588","54","0","904","603","126","0","602","602","602","602","0","603","0"
"453","605","907","907","907","605","907","907","605","907","0","907","0","0","605","605","590","54","0","907","605","126","0","604","604","604","604","0","605","0"
"454","606","909","909","909","606","909","909","606","909","0","909","0","0","606","606","591","54","0","909","606","126","0","605","605","605","605","0","606","0"
"455","607","911","911","911","607","911","911","607","911","0","911","0","0","607","607","592","54","0","911","607","126","0","607","607","607","607","0","607","0"
"456","609","913","913","913","609","913","913","609","913","0","913","0","0","609","609","594","54","0","913","609","126","0","608","608","608","608","0","609","0"
"457","610","915","915","915","610","915","915","610","915","0","915","0","0","610","610","595","54","0","915","610","126","0","609","609","609","609","0","610","0"
"458","611","917","917","917","611","917","917","611","917","0","917","0","0","611","611","596","54","0","917","611","126","0","611","611","611","611","0","611","0"
"459","613","919","919","919","613","919","919","613","919","0","919","0","0","613","613","598","54","0","919","613","126","0","612","612","612","612","0","613","0"
"460","614","921","921","921","614","921","921","614","921","0","921","0","0","614","614","599","54","0","921","614","126","0","613","613","613","613","0","614","0"
"461","616","923","923","923","616","923","923","616","923","0","923","0","0","616","616","601","54","0","923","616","126","0","615","615","615","615","0","616","0"
"462","617","925","925","925","617","925","925","617","925","0","925","0","0","617","617","602","54","0","925","617","126","0","616","616","616","616","0","617","0"
"463","618","927","927","927","618","927","927","618","927","0","927","0","0","618","618","603","54","0","927","618","126","0","618","618","618","618","0","618","0"
"464","620","929","929","929","620","929","929","620","929","0","929","0","0","620","620","605","54","0","929","620","126","0","619","619","619","619","0","620","0"
"465","621","932","932","932","621","932","932","621","932","0","932","0","0","621","621","606","54","0","932","621","126","0","620","620","620","620","0","621","0"
"466","623","934","934","934","623","934","934","623","934","0","934","0","0","623","623","608","54","0","934","623","126","0","622","622","622","622","0","623","0"
"467","624","936","936","936","624","936","936","624","936","0","936","0","0","624","624","609","54","0","936","624","126","0","623","623","623","623","0","624","0"
"468","625","938","938","938","625","938","938","625","938","0","938","0","0","625","625","610","54","0","938","625","126","0","625","625","625","625","0","625","0"
"469","627","940","940","940","627","940","940","627","940","0","940","0","0","627","627","612","54","0","940","627","126","0","626","626","626","626","0","627","0"
"470","628","942","942","942","628","942","942","628","942","0","942","0","0","628","628","613","54","0","942","628","126","0","627","627","627","627","0","628","0"
"471","630","944","944","944","630","944","944","630","944","0","944","0","0","630","630","615","54","0","944","630","126","0","629","629","629","629","0","630","0"
"472","631","946","946","946","631","946","946","631","946","0","946","0","0","631","631","616","54","0","946","631","126","0","630","630","630","630","0","631","0"
"473","632","948","948","948","632","948","948","632","948","0","948","0","0","632","632","617","54","0","948","632","126","0","632","632","632","632","0","632","0"
"474","634","950","950","950","634","950","950","634","950","0","950","0","0","634","634","619","54","0","950","634","126","0","633","633","633","633","0","634","0"
"475","635","952","952","952","635","952","952","635","952","0","952","0","0","635","635","620","54","0","952","635","126","0","634","634","634","634","0","635","0"
"476","636","954","954","954","636","954","954","636","954","0","954","0","0","636","636","621","54","0","954","636","126","0","636","636","636","636","0","636","0"
"477","638","957","957","957","638","957","957","638","957","0","957","0","0","638","638","623","54","0","957","638","126","0","637","637","637","637","0","638","0"
"478","639","959","959","959","639","959","959","639","959","0","959","0","0","639","639","624","54","0","959","639","126","0","639","639","639","639","0","639","0"
"479","641","961","961","961","641","961","961","641","961","0","961","0","0","641","641","626","54","0","961","641","126","0","640","640","640","640","0","641","0"
"480","642","963","963","963","642","963","963","642","963","0","963","0","0","642","642","627","54","0","963","642","126","0","641","641","641","641","0","642","0"
"481","643","965","965","965","643","965","965","643","965","0","965","0","0","643","643","628","54","0","965","643","126","0","643","643","643","643","0","643","0"
"482","645","967","967","967","645","967","967","645","967","0","967","0","0","645","645","630","54","0","967","645","126","0","644","644","644","644","0","645","0"
"483","646","969","969","969","646","969","969","646","969","0","969","0","0","646","646","631","54","0","969","646","126","0","646","646","646","646","0","646","0"
"484","648","971","971","971","648","971","971","648","971","0","971","0","0","648","648","633","54","0","971","648","126","0","647","647","647","647","0","648","0"
"485","649","973","973","973","649","973","973","649","973","0","973","0","0","649","649","634","54","0","973","649","126","0","648","648","648","648","0","649","0"
"486","650","975","975","975","650","975","975","650","975","0","975","0","0","650","650","635","54","0","975","650","126","0","650","650","650","650","0","650","0"
"487","652","977","977","977","652","977","977","652","977","0","977","0","0","652","652","637","54","0","977","652","126","0","651","651","651","651","0","652","0"
"488","653","979","979","979","653","979","979","653","979","0","979","0","0","653","653","638","54","0","979","653","126","0","653","653","653","653","0","653","0"
"489","655","982","982","982","655","982","982","655","982","0","982","0","0","655","655","640","54","0","982","655","126","0","654","654","654","654","0","655","0"
"490","656","984","984","984","656","984","984","656","984","0","984","0","0","656","656","641","54","0","984","656","126","0","655","655","655","655","0","656","0"
"491","657","986","986","986","657","986","986","657","986","0","986","0","0","657","657","642","54","0","986","657","126","0","657","657","657","657","0","657","0"
"492","659","988","988","988","659","988","988","659","988","0","988","0","0","659","659","644","54","0","988","659","126","0","658","658","658","658","0","659","0"
"493","660","990","990","990","660","990","990","660","990","0","990","0","0","660","660","645","54","0","990","660","126","0","660","660","660","660","0","660","0"
"494","661","992","992","992","661","992","992","661","992","0","992","0","0","661","661","646","54","0","992","661","126","0","661","661","661","661","0","661","0"
"495","663","994","994","994","663","994","994","663","994","0","994","0","0","663","663","648","54","0","994","663","126","0","662","662","662","662","0","663","0"
"496","664","996","996","996","664","996","996","664","996","0","996","0","0","664","664","649","54","0","996","664","126","0","664","664","664","664","0","664","0"
"497","666","998","998","998","666","998","998","666","998","0","998","0","0","666","666","651","54","0","998","666","126","0","665","665","665","665","0","666","0"
"498","667","1000","1000","1000","667","1000","1000","667","1000","0","1000","0","0","667","667","652","54","0","1000","667","126","0","667","667","667","667","0","667","0"
"499","668","1002","1002","1002","668","1002","1002","668","1002","0","1002","0","0","668","668","653","54","0","1002","668","126","0","668","668","668","668","0","668","0"
"500","670","1004","1004","1004","670","1004","1004","670","1004","0","1004","0","0","670","670","655","54","0","1004","670","126","0","669","669","669","669","0","670","0"
"501","671","1007","1007","1007","671","1007","1007","671","1007","0","1007","0","0","671","671","656","54","0","1007","671","126","0","671","671","671","671","0","671","0"
"502","673","1009","1009","1009","673","1009","1009","673","1009","0","1009","0","0","673","673","658","54","0","1009","673","126","0","672","672","672","672","0","673","0"
"503","674","1011","1011","1011","674","1011","1011","674","1011","0","1011","0","0","674","674","659","54","0","1011","674","126","0","674","674","674","674","0","674","0"
"504","675","1013","1013","1013","675","1013","1013","675","1013","0","1013","0","0","675","675","660","54","0","1013","675","126","0","675","675","675","675","0","675","0"
"505","677","1015","1015","1015","677","1015","1015","677","1015","0","1015","0","0","677","677","662","54","0","1015","677","126","0","676","676","676","676","0","677","0"
"506","678","1017","1017","1017","678","1017","1017","678","1017","0","1017","0","0","678","678","663","54","0","1017","678","126","0","678","678","678","678","0","678","0"
"507","680","1019","1019","1019","680","1019","1019","680","1019","0","1019","0","0","680","680","665","54","0","1019","680","126","0","679","679","679","679","0","680","0"
"508","681","1021","1021","1021","681","1021","1021","681","1021","0","1021","0","0","681","681","666","54","0","1021","681","126","0","681","681","681","681","0","681","0"
"509","682","1023","1023","1023","682","1023","1023","682","1023","0","1023","0","0","682","682","667","54","0","1023","682","126","0","682","682","682","682","0","682","0"
"510","684","1025","1025","1025","684","1025","1025","684","1025","0","1025","0","0","684","684","669","54","0","1025","684","126","0","683","683","683","683","0","684","0"
"511","685","1027","1027","1027","685","1027","1027","685","1027","0","1027","0","0","685","685","670","54","0","1027","685","126","0","685","685","685","685","0","685","0"
"512","686","1029","1029","1029","686","1029","1029","686","1029","0","1029","0","0","686","686","671","54","0","1029","686","126","0","686","686","686","686","0","686","0"
"513","688","1032","1032","1032","688","1032","1032","688","1032","0","1032","0","0","688","688","673","54","0","1032","688","126","0","688","688","688","688","0","688","0"
"514","689","1034","1034","1034","689","1034","1034","689","1034","0","1034","0","0","689","689","674","54","0","1034","689","126","0","689","689","689","689","0","689","0"
"515","691","1036","1036","1036","691","1036","1036","691","1036","0","1036","0","0","691","691","676","54","0","1036","691","126","0","690","690","690","690","0","691","0"
"516","692","1038","1038","1038","692","1038","1038","692","1038","0","1038","0","0","692","692","677","54","0","1038","692","126","0","692","692","692","692","0","692","0"
"517","693","1040","1040","1040","693","1040","1040","693","1040","0","1040","0","0","693","693","678","54","0","1040","693","126","0","693","693","693","693","0","693","0"
"518","695","1042","1042","1042","695","1042","1042","695","1042","0","1042","0","0","695","695","680","54","0","1042","695","126","0","695","695","695","695","0","695","0"
"519","696","1044","1044","1044","696","1044","1044","696","1044","0","1044","0","0","696","696","681","54","0","1044","696","126","0","696","696","696","696","0","696","0"
"520","698","1046","1046","1046","698","1046","1046","698","1046","0","1046","0","0","698","698","683","54","0","1046","698","126","0","697","697","697","697","0","698","0"
"521","699","1048","1048","1048","699","1048","1048","699","1048","0","1048","0","0","699","699","684","54","0","1048","699","126","0","699","699","699","699","0","699","0"
"522","700","1050","1050","1050","700","1050","1050","700","1050","0","1050","0","0","700","700","685","54","0","1050","700","126","0","700","700","700","700","0","700","0"
"523","702","1052","1052","1052","702","1052","1052","702","1052","0","1052","0","0","702","702","687","54","0","1052","702","126","0","702","702","702","702","0","702","0"
"524","703","1055","1055","1055","703","1055","1055","703","1055","0","1055","0","0","703","703","688","54","0","1055","703","126","0","703","703","703","703","0","703","0"
"525","705","1057","1057","1057","705","1057","1057","705","1057","0","1057","0","0","705","705","690","54","0","1057","705","126","0","704","704","704","704","0","705","0"
"526","706","1059","1059","1059","706","1059","1059","706","1059","0","1059","0","0","706","706","691","54","0","1059","706","126","0","706","706","706","706","0","706","0"
"527","707","1061","1061","1061","707","1061","1061","707","1061","0","1061","0","0","707","707","692","54","0","1061","707","126","0","707","707","707","707","0","707","0"
"528","709","1063","1063","1063","709","1063","1063","709","1063","0","1063","0","0","709","709","694","54","0","1063","709","126","0","709","709","709","709","0","709","0"
"529","710","1065","1065","1065","710","1065","1065","710","1065","0","1065","0","0","710","710","695","54","0","1065","710","126","0","710","710","710","710","0","710","0"
"530","712","1067","1067","1067","712","1067","1067","712","1067","0","1067","0","0","712","712","697","54","0","1067","712","126","0","711","711","711","711","0","712","0"
"531","713","1069","1069","1069","713","1069","1069","713","1069","0","1069","0","0","713","713","698","54","0","1069","713","126","0","713","713","713","713","0","713","0"
"532","714","1071","1071","1071","714","1071","1071","714","1071","0","1071","0","0","714","714","699","54","0","1071","714","126","0","714","714","714","714","0","714","0"
"533","716","1073","1073","1073","716","1073","1073","716","1073","0","1073","0","0","716","716","701","54","0","1073","716","126","0","716","716","716","716","0","716","0"
"534","717","1075","1075","1075","717","1075","1075","717","1075","0","1075","0","0","717","717","702","54","0","1075","717","126","0","717","717","717","717","0","717","0"
"535","718","1077","1077","1077","718","1077","1077","718","1077","0","1077","0","0","718","718","703","54","0","1077","718","126","0","718","718","718","718","0","718","0"
"536","720","1080","1080","1080","720","1080","1080","720","1080","0","1080","0","0","720","720","705","54","0","1080","720","126","0","720","720","720","720","0","720","0"
"537","721","1082","1082","1082","721","1082","1082","721","1082","0","1082","0","0","721","721","706","54","0","1082","721","126","0","721","721","721","721","0","721","0"
"538","723","1084","1084","1084","723","1084","1084","723","1084","0","1084","0","0","723","723","708","54","0","1084","723","126","0","723","723","723","723","0","723","0"
"539","724","1086","1086","1086","724","1086","1086","724","1086","0","1086","0","0","724","724","709","54","0","1086","724","126","0","724","724","724","724","0","724","0"
"540","725","1088","1088","1088","725","1088","1088","725","1088","0","1088","0","0","725","725","710","54","0","1088","725","126","0","725","725","725","725","0","725","0"
"541","727","1090","1090","1090","727","1090","1090","727","1090","0","1090","0","0","727","727","712","54","0","1090","727","126","0","727","727","727","727","0","727","0"
"542","728","1092","1092","1092","728","1092","1092","728","1092","0","1092","0","0","728","728","713","54","0","1092","728","126","0","728","728","728","728","0","728","0"
"543","730","1094","1094","1094","730","1094","1094","730","1094","0","1094","0","0","730","730","715","54","0","1094","730","126","0","729","729","729","729","0","730","0"
"544","731","1096","1096","1096","731","1096","1096","731","1096","0","1096","0","0","731","731","716","54","0","1096","731","126","0","731","731","731","731","0","731","0"
"545","732","1098","1098","1098","732","1098","1098","732","1098","0","1098","0","0","732","732","717","54","0","1098","732","126","0","732","732","732","732","0","732","0"
"546","734","1100","1100","1100","734","1100","1100","734","1100","0","1100","0","0","734","734","719","54","0","1100","734","126","0","734","734","734","734","0","734","0"
"547","735","1102","1102","1102","735","1102","1102","735","1102","0","1102","0","0","735","735","720","54","0","1102","735","126","0","735","735","735","735","0","735","0"
"548","737","1105","1105","1105","737","1105","1105","737","1105","0","1105","0","0","737","737","722","54","0","1105","737","126","0","736","736","736","736","0","737","0"
"549","738","1107","1107","1107","738","1107","1107","738","1107","0","1107","0","0","738","738","723","54","0","1107","738","126","0","738","738","738","738","0","738","0"
"550","739","1109","1109","1109","739","1109","1109","739","1109","0","1109","0","0","739","739","724","54","0","1109","739","126","0","739","739","739","739","0","739","0"
"551","741","1111","1111","1111","741","1111","1111","741","1111","0","1111","0","0","741","741","726","54","0","1111","741","126","0","741","741","741","741","0","741","0"
"552","742","1113","1113","1113","742","1113","1113","742","1113","0","1113","0","0","742","742","727","54","0","1113","742","126","0","742","742","742","742","0","742","0"
"553","743","1115","1115","1115","743","1115","1115","743","1115","0","1115","0","0","743","743","728","54","0","1115","743","126","0","743","743","743","743","0","743","0"
"554","745","1117","1117","1117","745","1117","1117","745","1117","0","1117","0","0","745","745","730","54","0","1117","745","126","0","745","745","745","745","0","745","0"
"555","746","1119","1119","1119","746","1119","1119","746","1119","0","1119","0","0","746","746","731","54","0","1119","746","126","0","746","746","746","746","0","746","0"
"556","748","1121","1121","1121","748","1121","1121","748","1121","0","1121","0","0","748","748","733","54","0","1121","748","126","0","748","748","748","748","0","748","0"
"557","749","1123","1123","1123","749","1123","1123","749","1123","0","1123","0","0","749","749","734","54","0","1123","749","126","0","749","749","749","749","0","749","0"
"558","750","1125","1125","1125","750","1125","1125","750","1125","0","1125","0","0","750","750","735","54","0","1125","750","126","0","750","750","750","750","0","750","0"
"559","752","1127","1127","1127","752","1127","1127","752","1127","0","1127","0","0","752","752","737","54","0","1127","752","126","0","752","752","752","752","0","752","0"
"560","753","1130","1130","1130","753","1130","1130","753","1130","0","1130","0","0","753","753","738","54","0","1130","753","126","0","753","753","753","753","0","753","0"
"561","755","1132","1132","1132","755","1132","1132","755","1132","0","1132","0","0","755","755","740","54","0","1132","755","126","0","755","755","755","755","0","755","0"
"562","756","1134","1134","1134","756","1134","1134","756","1134","0","1134","0","0","756","756","741","54","0","1134","756","126","0","756","756","756","756","0","756","0"
"563","757","1136","1136","1136","757","1136","1136","757","1136","0","1136","0","0","757","757","742","54","0","1136","757","126","0","757","757","757","757","0","757","0"
"564","759","1138","1138","1138","759","1138","1138","759","1138","0","1138","0","0","759","759","744","54","0","1138","759","126","0","759","759","759","759","0","759","0"
"565","760","1140","1140","1140","760","1140","1140","760","1140","0","1140","0","0","760","760","745","54","0","1140","760","126","0","760","760","760","760","0","760","0"
"566","762","1142","1142","1142","762","1142","1142","762","1142","0","1142","0","0","762","762","747","54","0","1142","762","126","0","762","762","762","762","0","762","0"
"567","763","1144","1144","1144","763","1144","1144","763","1144","0","1144","0","0","763","763","748","54","0","1144","763","126","0","763","763","763","763","0","763","0"
"568","764","1146","1146","1146","764","1146","1146","764","1146","0","1146","0","0","764","764","749","54","0","1146","764","126","0","764","764","764","764","0","764","0"
"569","766","1148","1148","1148","766","1148","1148","766","1148","0","1148","0","0","766","766","751","54","0","1148","766","126","0","766","766","766","766","0","766","0"
"570","767","1150","1150","1150","767","1150","1150","767","1150","0","1150","0","0","767","767","752","54","0","1150","767","126","0","767","767","767","767","0","767","0"
"571","768","1152","1152","1152","768","1152","1152","768","1152","0","1152","0","0","768","768","753","54","0","1152","768","126","0","769","769","769","769","0","768","0"
"572","772","1158","1158","1158","772","1158","1158","772","1158","0","1158","0","0","772","772","757","54","0","1158","772","126","0","773","773","773","773","0","772","0"
"573","777","1165","1165","1165","777","1165","1165","777","1165","0","1165","0","0","777","777","762","54","0","1165","777","126","0","777","777","777","777","0","777","0"
"574","781","1171","1171","1171","781","1171","1171","781","1171","0","1171","0","0","781","781","766","54","0","1171","781","126","0","781","781","781","781","0","781","0"
"575","785","1177","1177","1177","785","1177","1177","785","1177","0","1177","0","0","785","785","770","54","0","1177","785","126","0","785","785","785","785","0","785","0"
"576","789","1183","1183","1183","789","1183","1183","789","1183","0","1183","0","0","789","789","774","54","0","1183","789","126","0","789","789","789","789","0","789","0"
"577","793","1189","1189","1189","793","1189","1189","793","1189","0","1189","0","0","793","793","778","54","0","1189","793","126","0","793","793","793","793","0","793","0"
"578","797","1195","1195","1195","797","1195","1195","797","1195","0","1195","0","0","797","797","782","54","0","1195","797","126","0","797","797","797","797","0","797","0"
"579","801","1201","1201","1201","801","1201","1201","801","1201","0","1201","0","0","801","801","786","54","0","1201","801","126","0","801","801","801","801","0","801","0"
"580","805","1207","1207","1207","805","1207","1207","805","1207","0","1207","0","0","805","805","790","54","0","1207","805","126","0","805","805","805","805","0","805","0"
