Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7_0,Unknown7_1,Unknown7_2,Unknown7_3,Unknown7_4,Unknown7_5,Unknown8_0,Unknown8_1,Unknown9_0,Unknown9_1,Unknown9_2,Unknown9_3,Unknown9_4,Unknown9_5,Unknown9_6,Unknown9_7,Unknown9_8,Unknown9_9,Unknown9_10,Unknown9_11,Unknown9_12,Unknown9_13,Unknown9_14,Unknown9_15,Unknown9_16,Unknown9_17,Unknown10_0,Unknown10_1,Unknown10_2,Unknown10_3,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17_0,Unknown17_1,Unknown17_2,Unknown17_3,Unknown17_4,Unknown17_5,Unknown18
"859","Magma_North","0","0","0","0","0","4","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0.025","0","0.025","0","0.55","0.45","0.35","0","0","0","1","0.05","0","0","0","0","0","0","0","0","16737792","0","0","120","0","7","0","2","1","1","2","30","1","257"
"860","6FW_Magma","0","0","0","0","0","4","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0.02","0","0.025","0","0.55","0.45","0.35","0","0","0","1","0.05","0","0","0","0","0","0","0","0","16737792","0","0","120","0","7","0","2","1","1","2","30","1","257"
"864","7AZ_GhostTemple_Fog","0","0","0","0","0","0.1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4285825177","0","0.001","0.25","1","0.5","0.5","24","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","4","10","1","1","257"
"865","7vs_Swamp_Fog","0","0","0","0","0","0.1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4279860165","0","0.001","0.5","1","0.5","0.5","24","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","4","10","1","1","257"
"866","Helheim Fog","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4281482831","0","0.0001","0.08","1","0.5","0.1","90","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"868","Ley Line","0","30","0.5","0.5","0.25","1","xtextures\ley\leydetail01.blp","xtextures\ley\leydetail02.blp","xtextures\ley\leydiffuse.blp","xtextures\ocean\newoceanbump.blp","xtextures\manawater\manawater_shore.blp","","4292630218","4285434063","1","90","-0.02","0.5","10","-0.05","1","45","0.02","0.1","0.4","90","0.02","1","0.8","2","1","20","0","0","0","0","15","0","1","2","3","12","0","0","0","0","0","1","0"
"869","FelDeep - Tanaan Jungle Specific","188517","0","0","0","20","4","xtextures\fel\feldeep.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felanim_%d.blp","0","0","0.25","0","-0.05","0.5","0","0.02","0.55","90","0.01","0.25","0.2","1","2","0.25","1","1.5","0.75","0.75","1","0","16737792","0","106","6","2","2","4","13","0","0","0","0","0","30","3052"
"870","FelShallow - Tanaan Jungle Specific","188517","0","0","0","0","4","xtextures\fel\feldeep.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felanim_%d.blp","0","0","0.5","90","-0.05","0.5","0","0.05","0.5","90","0.015","0.5","0.25","1","1.25","1","2.5","2","0.75","0.5","0","0","0","0","122","6","2","1","1","13","0","0","0","0","0","30","3052"
"872","7AZ_LostOrchard_Fog","0","0","0","0","0","0.5","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4285829017","0","0.001","0.25","1","0.5","0.5","24","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","4","10","1","1","257"
"873","FelShallow Yellow - 6.2 Hellfire Raid Specific","0","0","0","0","0","4","xtextures\fel\feldeepOrange.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felswirl_%d.blp","0","0","0.4","0","0.01","0.5","0","-0.01","0.4","0","0.01","0.1","0.1","0.4","2","1","20","1","0.5","5","1","0","0","0","120","6","2","1","1","13","0","0","0","0","0","30","3052"
"874","FelShallow Purple - 6.2 Hellfire Raid Specific","0","0","0","0","0","4","xtextures\fel\feldeepPurple.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felswirl_%d.blp","0","0","0.4","0","0.01","0.5","0","-0.01","0.4","0","0.01","0.1","0.1","0.4","2","1","20","1","0.5","5","1","0","0","0","120","6","2","1","1","13","0","0","0","0","0","30","3052"
"875","FelShallow Green - 6.2 Hellfire Raid Specific","0","0","0","0","0","4","xtextures\fel\feldeep.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felanim_%d.blp","0","0","1","90","-0.05","0.5","0","0.01","0.75","90","0.025","1","0.2","0.2","1.25","1","8","12","0.75","12","1","0","0","0","120","6","2","1","1","13","0","0","0","0","0","30","3052"
"876","FelDeep-6.2 Hellfire Raid Specific Warlock","0","0","0","0","20","4","xtextures\fel\feldeep.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felanim_%d.blp","0","0","0.05","0","-0.05","0.02","0","0.02","0.075","90","0.01","0.1","0.2","5","3","2","8","14","0.75","1","1","0","16737792","0","104","6","2","2","4","13","0","0","0","0","0","30","3052"
"877","FelShallow-Hellfire Raid Specific Shallow","0","0","0","0","0","4","xtextures\fel\feldeep.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felanim_%d.blp","0","0","0.5","90","-0.05","0.5","0","0.05","0.25","0","0.015","0.5","0.25","1","2.5","1","0.45","0.5","1","1","0","0","0","0","120","6","2","1","1","13","0","0","0","0","0","30","3052"
"878","FelDeep - Generic","0","0","0","0","20","4","xtextures\fel\feldeep.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felanim_%d.blp","0","0","0.25","0","-0.05","0.5","0","0.02","0.55","90","0.01","0.25","0.2","1","2","0.25","1","1.5","0.75","0.75","1","0","16737792","0","104","6","2","2","4","13","0","0","0","0","0","30","3052"
"879","FelShallow - Generic","0","0","0","0","0","4","xtextures\fel\feldeep.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felanim_%d.blp","0","0","0.5","90","-0.05","0.5","0","0.05","0.5","90","0.015","0.5","0.25","1","1.25","1","2.5","2","0.75","0.5","0","0","0","0","120","6","2","1","1","13","0","0","0","0","0","30","3052"
"880","7VS World Tree Nightmare Fog","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4286414205","0","0.004","0.5","1","1","0.5","90","0.5","0.5","0.5","0.005","0.012","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"881","7VS Nightmare Mist","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4288980132","0","0.05","1","1","0.12","0.08","90","0.5","0.5","0.5","0.005","0.012","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"884","7LN_Spider_OrangeMist","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4287979995","0","0.05","1","1","0.12","0.08","90","0.5","0.5","0.5","0.005","0.012","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"885","7AZ felisle bogfog","0","0","0","0","0","0.5","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4289444495","0","0.004","0.1","1","0.25","0.15","90","0.5","0.5","0.5","0.005","0.012","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"886","NightmareGrizzly","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4285229931","0","0.0001","0.08","1","0.5","0.1","90","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"887","7XP Valhallas Fog","0","0","0","0","0","1","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4290036916","0","0.0001","0.08","1","0.5","0.1","90","0.5","0.5","0.5","0.02","0.02","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"888","7AZ felisle_felfog","0","0","0","0","0","0.5","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4287016545","0","0.004","0.1","1","0.25","0.15","90","0.5","0.5","0.5","0.005","0.012","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"890","Suramar Illuminated Water","0","30","0.5","0.5","0.25","1","xtextures\manawater\manawaterdetail01.blp","xtextures\manawater\manawaterdetail02.blp","xtextures\manawater\manawaterdiffuse.blp","xtextures\ocean\newoceanbump.blp","xtextures\manawater\manawater_shore.blp","","4283871452","4280961655","0.25","90","0.012","0.5","10","0.02","1","180","0.02","0.01","1","90","0.008","0.3","1","2","1","10","0","0","0","0","15","0","1","0","3","12","0","0","0","0","0","1","0"
"891","Backup_Ley Line","0","30","0.5","0.5","0.25","1","xtextures\ley\leydetail01.blp","xtextures\ley\leydetail02.blp","xtextures\ley\leydiffuse.blp","xtextures\ocean\newoceanbump.blp","xtextures\foam\waterchop7bw.blp","","4292630218","4285434063","1","90","-0.02","0.5","10","-0.05","1","45","0.02","0.1","0.4","90","0.02","1","0.8","2","1","20","0","0","0","0","15","0","1","2","3","12","0","0","0","0","0","1","0"
"892","UnderRot Fog","0","0","0","0","0","1","xtextures\ocean\01basicwaterheighttex_25.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","4293132286","0","0.1","200","1","1","1","320","0.5","0.5","0.5","0.5","0.1","0.2","0.1","1","0.5","2.5","0","0","0","1250","0","0","0","8","0","0","0","0","0","0","10","1","1","257"
"894","test- do not use- WMO Water - Interior","0","0","0","0","0","1","XTextures\river\lake_a.%d.blp","proceduralWmoWaterTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","1","0","1","0.25","0.5","270","1","0.5","0.5","0.2","0.7","0.2","0.1","1","0.5","1","0","0","1","1250","0","0","0","15","0","0","0","0","0","0","1","30","1","257"
"896","WMO Ley Line","0","30","0.5","0.5","0.25","1","xtextures\ley\leydetail01.blp","xtextures\ley\leydetail02.blp","xtextures\ley\leydiffuse.blp","xtextures\ocean\newoceanbump.blp","xtextures\manawater\manawater_shore.blp","","4292630218","4285434063","0.4","90","-0.02","0.2","10","-0.05","0.4","45","0.02","0.1","0.16","90","0.02","0.4","0.8","0.8","0.4","20","0","0","0","0","15","0","1","2","3","12","0","0","0","0","0","1","0"
