Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10_0,Unknown10_1,Unknown10_2,Unknown11,Unknown12,Unknown13,Unknown14
"324","Interface\WorldStateFrame\CombatSwords","","","","Valley of Honor: %5234w Rifts Remain","Close all the elemental rifts to secure the Valley of Honor.","1","5168","177","4583","0","0","0","1","0","0","0"
"325","","","","","Valley of Honor: %5233w Citizens Trapped","Free trapped citizens to secure the Valley of Honor.","1","5168","177","4583","0","0","0","2","0","0","0"
"326","Interface\WorldStateFrame\CombatSwords","","","","The Drag: %5236w Rifts Remain","Close all the elemental rifts to secure the Drag.","1","5167","177","4583","0","0","0","1","0","0","0"
"327","","","","","The Drag: %5235w Citizens Trapped","Free trapped citizens to secure the Drag.","1","5167","177","4583","0","0","0","2","0","0","0"
"328","Interface\WorldStateFrame\CombatSwords","","","","Cleft of Shadow: %5227w Rifts Remain","Close all the elemental rifts to secure the Cleft of Shadow.","1","5166","177","4583","0","0","0","1","0","0","0"
"329","","","","","Cleft of Shadow: %5228w Citizens Trapped","Free trapped citizens to secure the Cleft of Shadow.","1","5166","177","4583","0","0","0","2","0","0","0"
"330","Interface\TargetingFrame\UI-PVP-Alliance","","","","%4587w More Sandbags Required","Place sandbags in designated locations to prevent flooding.","0","1519","177","4436","0","0","0","1","0","0","0"
"331","Interface\TargetingFrame\UI-PVP-Horde","","","","%5256w Barricades left to place!","Put up Barricades to help defend!","1","1637","177","4581","0","0","0","1","0","0","0"
"332","Interface\TargetingFrame\UI-PVP-Horde","","","","%5266w Barricades left to place!","Put up Barricades to help defend!","1","1638","230","5262","0","0","0","1","0","0","0"
"333","Interface\TargetingFrame\UI-PVP-Horde","","","","Unsecured Districts: %5267w","","1","1638","230","5263","0","0","0","0","0","0","0"
"334","Interface\WorldStateFrame\CombatSwords","","","","Thunder Bluff: %5268w Rifts Remain","Close all the elemental rifts to secure Thunder Bluff.","1","5345","230","5263","0","0","0","1","0","0","0"
"335","","","","","Thunder Bluff: %5269w Citizens Trapped","Free trapped citizens to secure Thunder Bluff.","1","5345","230","5263","0","0","0","2","0","0","0"
"336","Interface\WorldStateFrame\CombatSwords","","","","Elder Rise: %5271w Rifts Remain","Close all the elemental rifts to secure The Elder Rise.","1","1639","230","5263","0","0","0","1","0","0","0"
"337","","","","","Elder Rise: %5270w Citizens Trapped","Free trapped citizens to secure The Elder Rise","1","1639","230","5263","0","0","0","2","0","0","0"
"338","Interface\WorldStateFrame\CombatSwords","","","","Hunter Rise: %5273w Rifts Remain","Close all the elemental rifts to secure The Hunter Rise.","1","1641","230","5263","0","0","0","1","0","0","0"
"339","","","","","Hunter Rise: %5272w Citizens Trapped","Free trapped citizens to secure The Hunter Rise.","1","1641","230","5263","0","0","0","2","0","0","0"
"340","Interface\WorldStateFrame\CombatSwords","","","","Spirit Rise: %5275w Rifts Remain","Close all the elemental rifts to secure The Spirit Rise.","1","1640","230","5263","0","0","0","1","0","0","0"
"341","","","","","Spirit Rise: %5274w Citizens Trapped","Free trapped citizens to secure The Spirit Rise.","1","1640","230","5263","0","0","0","2","0","0","0"
"342","Interface\WorldStateFrame\CombatSwords","","","","Pools of Vision: %5277w Rifts Remain","Close all the elemental rifts to secure The Pools of Vision.","1","2197","230","5263","0","0","0","1","0","0","0"
"343","","","","","Pools of Vision: %5276w Citizens Trapped","Free trapped citizens to secure The Pools of Vision","1","2197","230","5263","0","0","0","2","0","0","0"
"344","Interface\TargetingFrame\UI-PVP-Alliance","","","","%5284w Fortifications left to place!","Put up Fortifications to help secure Ironforge!","0","1537","233","5280","0","0","0","1","0","0","0"
"345","Interface\TargetingFrame\UI-PVP-Alliance","","","","Unsecured Districts: %5285w","","0","1537","233","5281","0","0","0","0","0","0","0"
"346","Interface\WorldStateFrame\CombatSwords","","","","The Commons: %5286w Rifts Remain","Close all the elemental rifts to secure The Commons.","0","5719","233","5281","0","0","0","1","0","0","0"
"347","","","","","The Commons: %5287w Citizens Trapped","Free trapped citizens to secure The Commons.","0","5719","233","5281","0","0","0","2","0","0","0"
"348","","","","","Time Remaining: %5333k","Remaining time until Defenders win","732","5095","0","5346","0","0","0","3","0","0","3"
"349","Interface\WorldStateFrame\NeutralTower","","","","Towers Destroyed: %5347w of 3","Number of Towers destroyed by Defenders","732","5095","0","5350","0","0","0","0","0","0","0"
"350","Interface\WorldStateFrame\neutraltower","","","","Buildings Captured: %5348w of 3","Number of Buildings captured by Attackers","732","5095","0","5349","0","0","0","0","0","0","0"
"351","","CAPTUREPOINT","","","","","732","0","0","5376","5377","5378","0","0","0","0","1"
"352","Interface\TargetingFrame\UI-PVP-Horde","","","","Horde Controlled","The Horde controls the Tol Barad prison complex.","732","0","0","5384","0","0","0","0","0","0","0"
"353","Interface\TargetingFrame\UI-PVP-Alliance","","","","Alliance Controlled","The Alliance controls the Tol Barad prison complex.","732","0","0","5385","0","0","0","0","0","0","0"
"354","","","","","Next Battle: %5332k","The Battle for Tol Barad will resume after this duration.","732","0","0","5387","0","0","0","0","0","0","3"
"355","Interface\WorldStateFrame\CombatSwords","","","","The Mystic Ward: %5290w Rifts Remain","Close all the elemental rifts to secure The Mystic Ward.","0","5344","233","5281","0","0","0","1","0","0","0"
"356","","","","","The Mystic Ward: %5291w Citizens Trapped","Free trapped citizens to secure The Mystic Ward.","0","5344","233","5281","0","0","0","2","0","0","0"
"357","Interface\WorldStateFrame\CombatSwords","","","","The Forlorn Cavern: %5295w Rifts Remain","Close all the elemental rifts to secure The Forlorn Cavern.","0","4679","233","5281","0","0","0","1","0","0","0"
"358","","","","","The Forlorn Cavern: %5294w Citizens Trapped","Free trapped citizens to secure The Forlorn Cavern.","0","4679","233","5281","0","0","0","2","0","0","0"
"359","Interface\WorldStateFrame\CombatSwords","","","","Hall of Explorers: %5292w Rifts Remain","Close all the elemental rifts to secure the Hall of Explorers.","0","5341","233","5281","0","0","0","1","0","0","0"
"360","Interface\WorldStateFrame\CombatSwords","","","","The Military Ward: %5289w Rifts Remain","Close all the elemental rifts to secure The Military Ward.","0","5343","233","5281","0","0","0","1","0","0","0"
"361","","","","","The Military Ward: %5288w Citizens Trapped","Free trapped citizens to secure The Military Ward.","0","5343","233","5281","0","0","0","2","0","0","0"
"362","Interface\WorldStateFrame\CombatSwords","","","","The Great Forge: %5296w Rifts Remain","Close all the elemental rifts to secure The Great Forge.","0","5342","233","5281","0","0","0","1","0","0","0"
"363","","","","","The Great Forge: %5297w Citizens Trapped","Free trapped citizens to secure The Great Forge.","0","5342","233","5281","0","0","0","2","0","0","0"
"364","","","","","Hall of Explorers: %5293w Citizens Trapped","Free trapped citizens to secure the Hall of Explorers.","0","5341","233","5281","0","0","0","2","0","0","0"
"369","Interface\TargetingFrame\UI-PVP-Alliance","","","","Bases: %1779w  Resources: %1776w/%1780w","Alliance status","761","0","0","0","0","0","0","0","0","0","0"
"370","Interface\WorldStateFrame\ColumnIcon-TowerCapture","","","","Bases Assaulted","Number of times enemy base banners have been removed","761","0","0","0","0","0","0","0","0","0","2"
"371","Interface\WorldStateFrame\ColumnIcon-TowerDefend","","","","Bases Defended","Number of times a base capture has been prevented","761","0","0","0","0","0","0","1","0","0","2"
"372","Interface\TargetingFrame\UI-PVP-Horde","","","","Bases: %1778w  Resources: %1777w/%1780w","Horde status","761","0","0","0","0","0","0","0","0","0","0"
"373","Interface\TargetingFrame\UI-PVP-Alliance","","","","Alliance is Attacking","The Alliance is attacking Tol Barad prison complex.","732","0","0","5546","0","0","0","0","0","0","0"
"374","Interface\TargetingFrame\UI-PVP-Horde","","","","Horde is Attacking","The Horde is attacking the Tol Barad prison complex.","732","0","0","5547","0","0","0","0","0","0","0"
"375","","","","","Golden Orbs Collected: %5649w","","657","0","0","5649","0","0","0","0","0","0","0"
"389","Interface\TargetingFrame\UI-PVP-Alliance","","Interface\WorldStateFrame\AllianceFlag","The Alliance have the flag","Bases: %1779w  Resources: %1776w/%1780w","Alliance status","968","0","0","9808","0","0","0","0","0","0","0"
"390","Interface\TargetingFrame\UI-PVP-Horde","","Interface\WorldStateFrame\HordeFlag","The Horde have the flag","Bases: %1778w  Resources: %1777w/%1780w","Horde status","968","0","0","9809","0","0","0","0","0","0","0"
"391","Interface\WorldStateFrame\ColumnIcon-TowerCapture","","","","Bases Assaulted","Number of times enemy base banners have been removed","968","0","0","0","0","0","0","0","0","0","2"
"392","Interface\WorldStateFrame\ColumnIcon-TowerDefend","","","","Bases Defended","Number of times a base capture has been prevented","968","0","0","0","0","0","0","1","0","0","2"
"393","Interface\WorldStateFrame\ColumnIcon-FlagCapture2.blp","","","","Flag Captures","Number of times you have captured the flag","968","0","0","0","0","0","0","0","0","0","2"
"408","","","","","Demons present: %6017w","Total demons in courtyard","939","5788","0","6018","0","0","0","0","0","0","0"
"411","","","","","Fragments Collected: %6025w / 16","","938","0","0","6046","0","0","0","0","0","0","0"
"412","Interface\TargetingFrame\UI-PVP-Alliance","","","","Victory Points: %6303w/1500","","998","0","0","0","0","0","0","0","0","0","0"
"413","Interface\TargetingFrame\UI-PVP-Horde","","","","Victory Points: %6304w/1500","","998","0","0","0","0","0","0","0","0","0","0"
"418","Interface\WorldStateFrame\ColumnIcon-FlagCapture2.blp","","","","Orb Possessions","Number of times you have controlled an orb","998","0","0","0","0","0","0","0","0","0","2"
"419","","","","","Victory Points","Number of Victory Points earned","998","0","0","0","0","0","0","0","0","0","2"
"420","","","","","Brew Progress: %6403w / 100","","1005","0","0","6404","0","0","0","0","0","0","0"
"421","Interface\TargetingFrame\UI-PVP-Alliance","","Interface\WorldStateFrame\HordeFlag","Horde flag has been picked up","%1581w/%1601w","Alliance flag captures","1010","6112","0","2339","0","0","0","1","0","0","0"
"422","Interface\WorldStateFrame\ColumnIcon-FlagCapture","","","","Flag Captures","Number of times you have captured the enemy flag","1010","6112","0","0","0","0","0","1","0","0","2"
"423","Interface\WorldStateFrame\ColumnIcon-FlagReturn","","","","Flag Returns","Number of times you have returned your flag to your base from the field","1010","6112","0","0","0","0","0","2","0","0","2"
"424","Interface\TargetingFrame\UI-PVP-Horde","","Interface\WorldStateFrame\AllianceFlag","Alliance flag has been picked up","%1582w/%1601w","Horde flag captures","1010","6112","0","2338","0","0","0","1","0","0","0"
"425","","","","","Time Remaining: %4248w min.","Time Remaining","1010","6112","0","4247","0","0","0","0","0","0","0"
"426","Interface\TargetingFrame\UI-PVP-Alliance","","","","Resources: %6437w/1500","","727","0","0","6441","0","0","0","0","0","0","0"
"427","Interface\TargetingFrame\UI-PVP-Horde","","","","Resources: %6438w/1500","","727","0","0","6443","0","0","0","0","0","0","0"
"428","","","","","Carts Controlled","Number of Carts you helped control","727","0","0","0","0","0","0","0","0","0","2"
"429","","","","","Healers Active: %6488w of 12","Number of healers healing Shen-zin Su's wound.","860","5833","544","6489","0","0","0","0","0","0","0"
"430","","","","","Current Round: %6608w","","1031","0","0","6610","0","0","0","0","0","0","0"
"431","","","","","Score: %6607w","","1031","0","0","6611","0","0","0","1","0","0","0"
"433","","","","","Gold Team: %3601w Players Remaining","","980","6296","0","3610","0","0","0","0","0","0","0"
"434","","","","","Green Team: %3600w Players Remaining","","980","6296","0","3610","0","0","0","1","0","0","0"
"436","","","","","","","1048","0","0","7044","0","0","0","0","0","0","0"
"437","","","","","Quilin Acquired: %6748w / 5","","994","0","0","6761","0","0","0","0","0","0","0"
"440","","CAPTUREPOINT","","","","","727","0","0","6875","6876","6877","0","0","0","0","0"
"443","","CAPTUREPOINT","","","","","870","6134","1918","7136","7137","7138","0","0","0","0","0"
"444","","CAPTUREPOINT","","","","","870","6134","1918","7139","7140","7141","0","0","0","0","0"
"445","","CAPTUREPOINT","","","","","870","6134","1919","7142","7143","7144","0","0","0","0","0"
"446","","CAPTUREPOINT","","","","","870","6134","1919","7145","7146","7147","0","0","0","0","0"
"449","","CAPTUREPOINT","","","","","870","6134","1918","7310","7311","7312","0","0","0","0","0"
"450","","CAPTUREPOINT","","","","","870","6134","1919","7315","7316","7317","0","0","0","0","0"
"451","","","","","Attempts Remaining: %7844w","","1098","6730","0","0","0","0","0","0","0","0","0"
"454","","","","","Fog Beasts Remaining: %7889w","","1098","0","0","7889","0","0","0","0","0","0","0"
"455","","","","","Green Team: %3600w Players Remaining","","1134","6732","0","3610","0","0","0","1","0","0","0"
"456","","","","","Gold Team: %3601w Players Remaining","","1134","6732","0","3610","0","0","0","0","0","0","0"
"457","Interface\WorldStateFrame\ColumnIcon-FlagCapture","","","","Carts Captures","Number of times you have captured the enemy mine cart","1105","0","0","0","0","0","0","0","0","0","2"
"458","Interface\WorldStateFrame\ColumnIcon-FlagReturn","","","","Carts Returned","Number of times you have returned your mine cart to your base from the field","1105","0","0","0","0","0","0","1","0","0","2"
"459","Interface\WorldStateFrame\ColumnIcon-TowerCapture","","","","Mines Assaulted","Number of times enemy base banners have been removed","1105","0","0","0","0","0","0","2","0","0","2"
"460","Interface\WorldStateFrame\ColumnIcon-TowerDefend","","","","Mines Defended","Number of times a mine capture has been prevented","1105","0","0","0","0","0","0","3","0","0","2"
"461","Interface\TargetingFrame\UI-PVP-Alliance","","Interface\WorldStateFrame\HordeFlag","Horde Flag has been picked up","Bases: %8230w  Gold: %7880w/1500","Alliance Gold","1105","0","0","7904","0","0","0","1","0","0","0"
"462","Interface\TargetingFrame\UI-PVP-Horde","","Interface\WorldStateFrame\AllianceFlag","Alliance Flag has been picked up","Bases: %8231w  Gold: %7881w/1500","Horde Gold","1105","0","0","7887","0","0","0","1","0","0","0"
"463","","","","","Currency: %8278w","","1155","0","0","0","0","0","0","0","0","0","0"
"464","","","","","Wave #%8280w","","1155","0","0","0","0","0","0","1","0","0","0"
"465","","","","","Time Remaining: %8529k","","1134","6732","0","8524","0","0","0","2","0","0","3"
"466","","","","","Really Skunky Leaks = %8291w of 10","Amount of skunky beer leaking from the keg","870","6773","0","8313","0","0","0","0","0","0","0"
"467","","","","","Time Remaining: %8529k","","562","3702","0","8524","0","0","0","2","0","0","3"
"468","","","","","Time Remaining: %8529k","","617","4378","0","8524","0","0","0","2","0","0","3"
"469","","","","","Time Remaining: %8529k","","559","3698","0","8524","0","0","0","2","0","0","3"
"470","","","","","Time Remaining: %8529k","","618","4406","0","8524","0","0","0","2","0","0","3"
"471","","","","","Time Remaining: %8529k","Game ends after this duration","980","6296","0","8524","0","0","0","2","0","0","3"
"472","","","","","Time Remaining: %8529k","","572","3968","0","8524","0","0","0","2","0","0","3"
"473","","","","","Defense systems activating in %8381w seconds.","Time remaining until the GB-11010 ""Armageddon""-class defense systems activate.","1136","0","0","8431","0","0","0","0","0","0","3"
"474","","","","","Cannons Remaining = %8373w","Number of Cannons left to destroy","1136","6800","0","8414","0","0","0","0","0","0","0"
"475","","","","","Cannons Remaining = %8373w","Number of Cannons left to destroy","1136","6799","0","8414","0","0","0","0","0","0","0"
"476","","","","","Enemies Remaining = %8412w","Number of Dudes left to kill this wave","1136","6800","0","8416","0","0","0","0","0","0","0"
"477","","","","","Customers Left Before Being Served: %8457w","","1157","0","0","8457","0","0","0","0","0","0","0"
"478","","","","","South Tower Progress: %8461w%","","1136","0","0","8545","0","0","0","0","0","0","0"
"479","","","","","North Tower Progress: %8462w%","","1136","0","0","8547","0","0","0","0","0","0","0"
"480","","","","","North Tower Dragonmaw Influence: %8469w%","","1136","0","0","8548","0","0","0","3","0","0","0"
"481","","","","","South Tower Dragonmaw Influence: %8468w%","","1136","0","0","8546","0","0","0","2","0","0","0"
"482","Interface\Icons\Ability_Hunter_SniperShot","","","",".        Orcs Remaining: %8484w","","1168","0","0","8485","0","0","0","0","0","0","0"
"484","","","","","Lowest Health: Green Team - %8528w HP","","1134","6732","0","8526","0","0","0","2","0","0","0"
"485","","","","","Lowest Health: Gold Team - %8528w HP","","1134","6732","0","8527","0","0","0","2","0","0","0"
"486","","","","","Lowest Health: Green Team - %8528w HP","","562","3702","0","8526","0","0","0","2","0","0","0"
"487","","","","","Lowest Health: Gold Team - %8528w HP","","562","3702","0","8527","0","0","0","2","0","0","0"
"488","","","","","Lowest Health: Green Team - %8528w HP","","617","0","0","8526","0","0","0","2","0","0","0"
"489","","","","","Lowest Health: Gold Team - %8528w HP","","617","0","0","8527","0","0","0","2","0","0","0"
"490","","","","","Lowest Health: Green Team - %8528w HP","","559","0","0","8526","0","0","0","2","0","0","0"
"491","","","","","Lowest Health: Gold Team - %8528w HP","","559","0","0","8527","0","0","0","2","0","0","0"
"492","","","","","Lowest Health: Green Team - %8528w HP","","618","0","0","8526","0","0","0","2","0","0","0"
"493","","","","","Lowest Health: Gold Team - %8528w HP","","618","0","0","8527","0","0","0","2","0","0","0"
"494","","","","","Lowest Health: Green Team - %8528w HP","","980","6296","0","8526","0","0","0","2","0","0","0"
"495","","","","","Lowest Health: Gold Team - %8528w HP","","980","6296","0","8527","0","0","0","2","0","0","0"
"496","","","","","Lowest Health: Green Team - %8528w HP","","572","0","0","8526","0","0","0","2","0","0","0"
"497","","","","","Lowest Health: Gold Team - %8528w HP","","572","0","0","8527","0","0","0","2","0","0","0"
"500","","","","","Ogres fed to Borrok = %8604w/10","The Devourer hungers. Feed him ogres!","1116","6911","0","8603","0","0","0","3","0","0","0"
"501","Interface\PVPFrame\Icon-Combat","","","","Score","Contribution toward victory","451","0","0","0","0","0","0","4","0","0","2"
"502","","","","","%8890w Reinforcements Left","Don't let it reach zero","-1","0","0","8892","0","0","0","1","0","0","0"
"503","Interface\TargetingFrame\UI-PVP-Alliance","","","","Enemies Slain: %8933w/%9801w","Slay enemies to summon a captain","1191","7080","0","0","0","0","0","1","0","0","0"
"504","Interface\TargetingFrame\UI-PVP-Horde","","","","Enemies Slain: %8934w/%9802w","Slay enemies to summon a captain","1191","7080","0","0","0","0","0","2","0","0","0"
"516","","","","","Next Battle: %8945k","The next stage of the battle will begin after this time","1191","7080","0","8946","0","0","0","0","0","0","3"
"519","","CAPTUREPOINT","","","","","1191","0","0","9053","9054","9055","0","3","0","0","0"
"520","Interface\TargetingFrame\UI-PVP-FFA","","","","Active Stage: %8955w","","1191","7080","0","9277","0","0","0","6","0","0","0"
"521","","CAPTUREPOINT","","","","","1191","0","0","9110","9111","9112","0","0","0","0","0"
"522","Interface\TargetingFrame\UI-PVP-Alliance","","","","Risen Spirits Captured: %9200w/20","Risen Spirits Captured","1191","7311","0","9199","0","0","0","1","0","0","0"
"523","Interface\TargetingFrame\UI-PVP-Horde","","","","Risen Spirits Captured: %9201w/20","Risen Spirits Captured","1191","7311","0","9199","0","0","0","1","0","0","0"
"524","Interface\TargetingFrame\UI-PVP-Horde","","","","Ore Collected: %1582w/20","Horde status","1191","7275","0","9274","0","0","0","1","0","0","0"
"525","Interface\TargetingFrame\UI-PVP-Alliance","","","","Ore Collected: %1581w/20","Alliance status","1191","7275","0","9274","0","0","0","2","0","0","0"
"526","Interface\TargetingFrame\UI-PVP-Horde","","","","Laps: %9292w/5","Horde status","1191","7279","0","9290","0","0","0","1","0","0","0"
"527","Interface\TargetingFrame\UI-PVP-Alliance","","","","Laps: %9291w/5","Alliance status","1191","7279","0","9290","0","0","0","2","0","0","0"
"528","","","","","Next Battle: %8945k","The next stage of the battle will begin after this time","1191","7099","0","8946","0","0","0","0","0","0","3"
"529","","","","","Next Battle: %8945k","The next stage of the battle will begin after this time","1191","7100","0","8946","0","0","0","0","0","0","3"
"530","Interface\TargetingFrame\UI-PVP-Horde","","","","Time Remaining: %9316k","The Alliance must slay Volrath","1191","7099","0","9317","0","0","0","0","0","0","3"
"531","Interface\TargetingFrame\UI-PVP-Alliance","","","","Time Remaining: %9316k","The Horde must slay Tremblade","1191","7100","0","9326","0","0","0","0","0","0","3"
"533","Interface\TargetingFrame\UI-PVP-Alliance","","","","Score: %9384w/%9386w","Alliance score","1280","0","0","0","0","0","0","1","0","0","0"
"534","Interface\TargetingFrame\UI-PVP-Horde","","","","Score: %9385w/%9386w","Horde score","1280","0","0","0","0","0","0","2","0","0","0"
"535","Interface\TargetingFrame\UI-PVP-FFA","","","","Time Remaining: %8529k","Time remaining","1280","0","0","8524","0","0","0","0","0","0","3"
"536","Interface\TargetingFrame\UI-PVP-Alliance","","","","Fires: %9782w  Score: %9418w/%9784w","Alliance status","1191","7201","0","9414","0","0","0","2","0","0","0"
"537","Interface\TargetingFrame\UI-PVP-Horde","","","","Fires: %9783w  Score: %9419w/%9784w","Horde status","1191","7201","0","9414","0","0","0","2","0","0","0"
"538","","","","","Chicken Timer: %9524w seconds.","Time remaining until Leeroy's Chicken finishes cooking and starts enacting your plan of attack.","1358","0","0","9523","0","0","0","0","0","0","3"
"540","","CAPTUREPOINT","","","","","727","0","0","9601","9603","9605","0","0","0","0","0"
"541","","CAPTUREPOINT","","","","","727","0","0","9602","9604","9606","0","0","0","0","0"
"543","Interface\TargetingFrame\UI-PVP-Alliance","","","","Time Remaining: %9316k","The Horde must slay Tremblade","1191","7080","0","9326","0","0","0","0","0","0","3"
"544","Interface\TargetingFrame\UI-PVP-Horde","","","","Time Remaining: %9316k","The Alliance must slay Volrath","1191","7080","0","9317","0","0","0","0","0","0","3"
"545","Interface\TargetingFrame\UI-PVP-Alliance","","","","Enemies Slain: %8933w/%9801w","Slay enemies to summon a captain","1191","7100","0","0","0","0","0","1","0","0","0"
"546","Interface\TargetingFrame\UI-PVP-Alliance","","","","Enemies Slain: %8933w/%9801w","Slay enemies to summon a captain","1191","7099","0","0","0","0","0","1","0","0","0"
"547","Interface\TargetingFrame\UI-PVP-Horde","","","","Enemies Slain: %8934w/%9802w","Slay enemies to summon a captain","1191","7100","0","0","0","0","0","2","0","0","0"
"548","Interface\TargetingFrame\UI-PVP-Horde","","","","Enemies Slain: %8934w/%9802w","Slay enemies to summon a captain","1191","7099","0","0","0","0","0","2","0","0","0"
"549","","","","","%9662w Gladiator's Alive","There can be only one.","1431","7462","0","9663","0","0","0","0","0","0","1"
"550","","","","","Elevator to arena active in %9667w minute(s).","","1431","7462","0","9668","0","0","0","0","0","0","1"
"551","Interface\TargetingFrame\UI-PVP-Horde","","","","Enemies Slain: %8934w/%9802w","Slay enemies to summon a captain","1191","7476","0","0","0","0","0","2","0","0","0"
"552","Interface\TargetingFrame\UI-PVP-Horde","","","","Enemies Slain: %8934w/%9802w","Slay enemies to summon a captain","1191","7477","0","0","0","0","0","2","0","0","0"
"553","Interface\TargetingFrame\UI-PVP-Horde","","","","Enemies Slain: %8934w/%9802w","Slay enemies to summon a captain","1191","7478","0","0","0","0","0","2","0","0","0"
"554","Interface\TargetingFrame\UI-PVP-Horde","","","","Enemies Slain: %8934w/%9802w","Slay enemies to summon a captain","1191","7479","0","0","0","0","0","2","0","0","0"
"555","Interface\TargetingFrame\UI-PVP-Alliance","","","","Enemies Slain: %8933w/%9801w","Slay enemies to summon a captain","1191","7476","0","0","0","0","0","1","0","0","0"
"556","Interface\TargetingFrame\UI-PVP-Alliance","","","","Enemies Slain: %8933w/%9801w","Slay enemies to summon a captain","1191","7477","0","0","0","0","0","1","0","0","0"
"557","Interface\TargetingFrame\UI-PVP-Alliance","","","","Enemies Slain: %8933w/%9801w","Slay enemies to summon a captain","1191","7478","0","0","0","0","0","1","0","0","0"
"558","Interface\TargetingFrame\UI-PVP-Alliance","","","","Enemies Slain: %8933w/%9801w","Slay enemies to summon a captain","1191","7479","0","0","0","0","0","1","0","0","0"
"559","","","","","Next Battle: %8945k","The next stage of the battle will begin after this time","1191","7476","0","8946","0","0","0","0","0","0","3"
"560","","","","","Stage Begins: %8945k","The next stage of the battle will begin after this time","1191","7477","0","8946","0","0","0","0","0","0","3"
"561","","","","","Next Battle: %8945k","The next stage of the battle will begin after this time","1191","7478","0","8946","0","0","0","0","0","0","3"
"562","","","","","Next Battle: %8945k","The next stage of the battle will begin after this time","1191","7479","0","8946","0","0","0","0","0","0","3"
"563","Interface\TargetingFrame\UI-PVP-Horde","","","","Time Remaining: %9316k","The Alliance must slay Volrath","1191","7100","0","9317","0","0","0","0","0","0","3"
"564","Interface\TargetingFrame\UI-PVP-Horde","","","","Time Remaining: %9316k","The Alliance must slay Volrath","1191","7476","0","9317","0","0","0","0","0","0","3"
"565","Interface\TargetingFrame\UI-PVP-Horde","","","","Time Remaining: %9316k","The Alliance must slay Volrath","1191","7477","0","9317","0","0","0","0","0","0","3"
"566","Interface\TargetingFrame\UI-PVP-Horde","","","","Time Remaining: %9316k","The Alliance must slay Volrath","1191","7478","0","9317","0","0","0","0","0","0","3"
"567","Interface\TargetingFrame\UI-PVP-Horde","","","","Time Remaining: %9316k","The Alliance must slay Volrath","1191","7479","0","9317","0","0","0","0","0","0","3"
"568","Interface\TargetingFrame\UI-PVP-Alliance","","","","Time Remaining: %9316k","The Horde must slay Tremblade","1191","7099","0","9326","0","0","0","0","0","0","3"
"569","Interface\TargetingFrame\UI-PVP-Alliance","","","","Time Remaining: %9316k","The Horde must slay Tremblade","1191","7476","0","9326","0","0","0","0","0","0","3"
"570","Interface\TargetingFrame\UI-PVP-Alliance","","","","Time Remaining: %9316k","The Horde must slay Tremblade","1191","7477","0","9326","0","0","0","0","0","0","3"
"571","Interface\TargetingFrame\UI-PVP-Alliance","","","","Time Remaining: %9316k","The Horde must slay Tremblade","1191","7478","0","9326","0","0","0","0","0","0","3"
"572","Interface\TargetingFrame\UI-PVP-Alliance","","","","Time Remaining: %9316k","The Horde must slay Tremblade","1191","7479","0","9326","0","0","0","0","0","0","3"
"573","Interface\TargetingFrame\UI-PVP-FFA","","","","The Crossroads","The battle for the Crossroads is underway","1191","7100","0","9716","0","0","0","4","0","0","0"
"574","Interface\TargetingFrame\UI-PVP-FFA","","","","Emberfall Tower","The battle for the Emberfall Tower is underway","1191","7100","0","9714","0","0","0","4","0","0","0"
"575","Interface\TargetingFrame\UI-PVP-FFA","","","","High Warlord Volrath","The Alliance must slay Volrath","1191","7080","0","9713","0","0","0","4","0","0","0"
"576","Interface\TargetingFrame\UI-PVP-FFA","","","","Volrath's Advance","The battle for Volrath's Advance is underway","1191","7100","0","9715","0","0","0","4","0","0","0"
"577","Interface\TargetingFrame\UI-PVP-FFA","","","","Tremblade's Vanguard","The battle for Tremblade's Vanguard is underway","1191","7080","0","9717","0","0","0","4","0","0","0"
"578","Interface\TargetingFrame\UI-PVP-FFA","","","","Archmage Overwatch","The battle for Archmage Overwatch is underway","1191","7100","0","9718","0","0","0","4","0","0","0"
"579","Interface\TargetingFrame\UI-PVP-FFA","","","","Grand Marshal Tremblade","The Horde must slay Tremblade","1191","7099","0","9719","0","0","0","4","0","0","0"
"580","Interface\TargetingFrame\UI-PVP-FFA","","","","High Warlord Volrath","The Alliance must slay Volrath","1191","7476","0","9713","0","0","0","4","0","0","0"
"581","Interface\TargetingFrame\UI-PVP-FFA","","","","High Warlord Volrath","The Alliance must slay Volrath","1191","7477","0","9713","0","0","0","4","0","0","0"
"582","Interface\TargetingFrame\UI-PVP-FFA","","","","High Warlord Volrath","The Alliance must slay Volrath","1191","7478","0","9713","0","0","0","4","0","0","0"
"583","Interface\TargetingFrame\UI-PVP-FFA","","","","High Warlord Volrath","The Alliance must slay Volrath","1191","7479","0","9713","0","0","0","4","0","0","0"
"584","Interface\TargetingFrame\UI-PVP-FFA","","","","High Warlord Volrath","The Alliance must slay Volrath","1191","7100","0","9713","0","0","0","4","0","0","0"
"585","Interface\TargetingFrame\UI-PVP-FFA","","","","High Warlord Volrath","The Alliance must slay Volrath","1191","7099","0","9713","0","0","0","4","0","0","0"
"586","Interface\TargetingFrame\UI-PVP-FFA","","","","Tremblade's Vanguard","The battle for Tremblade's Vanguard is underway","1191","7099","0","9717","0","0","0","4","0","0","0"
