Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown1
"3151","120","119","223","0","7"
"3152","0.3","2","1","0","14"
"3153","1447446","0","0","0","1"
"3154","1179815","0","0","0","1"
"3155","9791293","0","0","0","1"
"3156","134","0","0","0","9"
"3157","0.75","0","0","0","14"
"3158","458","0","0","1","26"
"3159","2284","0","0","0","26"
"3160","2288","0","0","0","26"
"3162","8736261","0","0","0","1"
"3163","277","0","0","0","26"
"3164","1516","0","0","3","26"
"3165","2207","0","0","3","26"
"3166","337","0","0","3","26"
"3167","2207","0","0","3","26"
"3168","1.657165E+07","0","0","0","1"
"3169","1872895","0","0","0","1"
"3170","2269","0","0","2","26"
"3171","2266","0","0","3","26"
"3172","2295","0","0","3","26"
"3173","2296","0","0","1","26"
"3174","2299","0","0","3","26"
"3175","1.361915E+07","0","0","0","10"
"3176","2109","0","0","2","26"
"3177","2309","0","0","3","26"
"3178","2266","0","0","2","26"
"3179","2266","0","0","2","26"
"3180","2266","0","0","2","26"
"3181","150","0","0","0","9"
"3182","1.65151E+07","0","0","0","1"
"3183","1.019792E+07","0","0","0","1"
"3184","0","0","0.8","2905387","22"
"3185","2207","0","0","3","26"
"3186","123","0","0","3","26"
"3187","1087","0","0","3","26"
"3188","1.648412E+07","20","10000","100","8"
"3189","2368","0","0","3","26"
"3190","151","0","0","0","9"
"3191","151","0","0","0","9"
"3192","151","0","0","0","9"
"3193","0.75","0","0","0","14"
"3194","1.225523E+07","0","0","0","1"
"3195","0.75","0","0","0","14"
"3196","4601","0","0","0","1"
"3197","154","0","0","0","9"
"3198","2313","0","0","0","26"
"3199","2357","0","0","3","26"
"3200","2284","0","0","1","26"
"3201","0.75","0","0","0","14"
"3202","0.75","0","0","0","14"
"3203","2319","0","0","3","26"
"3204","2323","0","0","2","26"
"3205","2324","0","0","1","26"
"3206","2327","0","0","3","26"
"3207","2339","0","0","3","26"
"3208","2328","0","0","0","26"
"3209","2480","0","0","3","26"
"3210","2","0","1","0","21"
"3211","2328","0","0","2","26"
"3212","2331","0","0","0","26"
"3213","1.618743E+07","0","0","0","1"
"3214","151","0","0","0","9"
"3215","2340","0","0","3","26"
"3216","1","0","0","0","2"
"3217","81","0","0","0","9"
"3218","1.671606E+07","0","0","0","1"
"3219","152","0","0","0","9"
"3220","152","0","0","0","9"
"3221","0.25","0","0","0","14"
"3222","0","3","1","0","21"
"3223","1","1","1","51711","18"
"3224","15","0","0","0","25"
"3225","16","51526","0","0","25"
"3226","17","15","0","0","25"
"3227","0","0","1","-2.147484E+09","21"
"3228","155","0","0","0","9"
"3229","156","0","0","0","9"
"3230","2288","0","0","1","26"
"3231","2347","0","0","1","26"
"3232","2480","0","0","2","26"
"3233","1313","0","0","3","26"
"3234","1","1","1","1.215548E+07","23"
"3235","0","0","1","0","21"
"3236","0.5","0","0","0","11"
"3237","8224125","0","0","0","1"
"3238","1.671168E+07","0","0","0","1"
"3239","0","62814","0","0","17"
"3240","0","62816","0","0","17"
"3241","0","64311","0","0","17"
"3242","0","81326","0","0","17"
"3243","0","60617","0","0","17"
"3244","0","81325","0","0","17"
"3245","0","64310","0","0","17"
"3246","0","60618","0","0","17"
"3247","1.671168E+07","0","0","0","1"
"3248","1.671168E+07","0","0","0","1"
"3249","2351","0","0","2","26"
"3250","0.7","0","0","0","14"
"3251","157","0","0","0","9"
"3252","0","62814","0","0","17"
"3253","0","62816","0","0","17"
"3254","0","64311","0","0","17"
"3255","0","81326","0","0","17"
"3256","0","81357","0","0","17"
"3257","0","0","0","0","1"
"3258","0","0","0","0","14"
"3259","0","0","0","0","14"
"3260","0.25","3","1","2905387","22"
"3261","7167","0","0","0","1"
"3262","1336","0","0","3","26"
"3263","0","0","0.75","-2.147484E+09","21"
"3264","1.626347E+07","20","600","100","8"
"3265","1198","0","0","0","1"
"3266","0.3","2","1000","0","14"
"3267","2674","0","0","3","26"
"3268","2355","0","0","1","26"
"3269","0.25","0","0","0","11"
"3270","1.271302E+07","20","600","100","8"
"3271","0","2493","0","0","17"
"3272","2361","0","0","3","26"
"3273","1","1","1","0","21"
"3274","0","0","1","2905387","22"
"3275","5627894","0","0","0","1"
"3276","1.648412E+07","20","10000","100","8"
"3277","750","0","0","1","26"
"3278","1.271302E+07","20","600","100","8"
"3279","0","0","0.5","0","21"
"3280","0.8","0","0","0","14"
"3281","6692096","0","0","0","1"
"3282","1","1","1","0","21"
"3283","9276813","0","0","0","1"
"3284","1515","0","0","3","26"
"3285","2548","0","0","3","26"
"3286","0","1","1","0","1"
"3287","1","1","0.4","0","21"
"3288","1","1","0.8","0","21"
"3289","9869055","1","0","0","13"
"3290","1","5","1","0","21"
"3291","352","0","0","0","26"
"3292","0","81324","0","0","17"
"3293","0","60619","0","0","17"
"3294","0","60620","0","0","17"
"3295","1.166848E+07","1","0","0","6"
"3296","8847553","0","0","0","1"
"3297","2371","0","0","1","26"
"3298","2699262","0","0","0","1"
"3299","1.671168E+07","8","400","128","8"
"3300","0","1","1","0","13"
"3301","0.5","0","0","0","14"
"3302","1.264845E+07","0","0","0","1"
"3303","0","0","1","0","21"
"3304","2097159","0","0","0","1"
"3305","0.35","0","1","0","14"
"3306","0","1","1","2905387","22"
"3307","2434341","0","0","0","1"
"3308","1","5","0.2","0","21"
"3309","458","0","0","1","26"
"3310","0","81926","0","0","17"
"3311","1327","0","0","3","26"
"3312","1","1","1","0","21"
"3313","2022","0","0","1","26"
"3314","2379","0","0","1","26"
"3315","0.5","0.5","1","0","21"
"3316","1327","0","0","0","26"
"3317","1.671606E+07","0","0","0","1"
"3318","949","0","0","1","26"
"3319","1.015808E+07","0","0","0","1"
"3320","1.05513E+07","0","0","0","1"
"3321","158","0","0","0","9"
"3322","159","0","0","0","9"
"3323","0.3","0","0","3","14"
"3324","2379","0","0","0","26"
"3325","327","0","0","100","9"
"3326","120","119","223","0","7"
"3327","0.3","2","1","0","14"
"3328","0","81320","0","0","17"
"3329","0","81320","0","0","17"
"3330","0","81321","0","0","17"
"3331","160","0","0","0","9"
"3332","160","0","0","0","9"
"3333","0","81320","0","0","17"
"3334","0","81321","0","0","17"
"3335","2374","0","0","3","26"
"3336","1.361915E+07","0","0","0","10"
"3337","0","0.5","1","2905387","22"
"3338","0","0","0.75","0","21"
"3339","2375","0","0","1","26"
"3340","0","0","0","1","26"
"3341","8575874","0","0","0","1"
"3342","2375","0","0","1","26"
"3343","2","0","0","0","9"
"3344","146","0","0","0","9"
"3345","1.626347E+07","20","600","100","8"
"3346","4066815","0","0","0","1"
"3347","1.435522E+07","20","1000","100","8"
"3348","1.543092E+07","0","0","0","1"
"3349","1","1","1","0","21"
"3350","1.220115E+07","0","0","0","1"
"3351","713","0","0","1","26"
"3352","2385","0","0","3","26"
"3353","7105791","0","0","0","13"
"3354","1.000062E+07","20","600","100","8"
"3355","0","0","0","2905387","22"
"3356","0.3","2","0","0","14"
"3357","1.000062E+07","20","600","100","8"
"3358","131","0","0","0","9"
"3359","2386","0","0","1","26"
"3360","1.000062E+07","20","600","100","8"
"3361","2","0","1","2905387","22"
"3362","0","0","0.8","0","21"
"3363","0","81357","0","0","17"
"3364","0","81357","0","0","17"
"3365","2375","0","0","1","26"
"3366","1.564396E+07","0","0","0","1"
"3367","15","0","0.5","0","21"
"3368","161","0","0","0","9"
"3369","162","0","0","0","9"
"3370","2387","0","0","2","26"
"3371","0","0","0.25","0","14"
"3372","0","0","0.25","0","14"
"3373","0.7","0","0","0","14"
"3374","1.648412E+07","20","10000","100","8"
"3375","0","0","1","2905387","22"
"3376","5046351","0","0","0","1"
"3377","1.261955E+07","0","0","0","1"
"3378","2391","0","0","3","26"
"3379","2388","0","0","3","26"
"3380","0","0","0.0001","-2.147484E+09","14"
"3381","2394","0","0","3","26"
"3382","2397","0","0","3","26"
"3383","2401","0","0","3","26"
"3384","2402","0","0","3","26"
"3385","2405","0","0","3","26"
"3386","2408","0","0","3","26"
"3387","1","1","1","0","21"
"3388","1411","0","0","3","26"
"3389","0","0","-2.147484E+09","0","11"
"3390","1","1","0.5","0","21"
"3391","2413","0","0","2","26"
"3392","131586","5","1","1","13"
"3393","0","0","1","2905387","22"
"3394","164","0","0","0","9"
"3395","2207","0","0","3","26"
"3396","1620","0","0","0","26"
"3397","2418","0","0","0","26"
"3398","166","0","0","0","9"
"3399","1.676882E+07","0","0","0","1"
"3400","0","0","0","0","11"
"3401","1.671168E+07","8","400","128","8"
"3402","159","0","0","0","9"
"3403","1.51609E+07","0","0","0","1"
"3404","158","0","0","0","9"
"3405","32832","0","0","0","1"
"3406","1734945","10","1","0","13"
"3407","2419","0","0","3","26"
"3408","0","-2.147484E+09","0","-2.147484E+09","11"
"3409","1.626347E+07","20","600","100","8"
"3410","0","0","0","0","11"
"3411","458","0","0","3","26"
"3412","2421","0","0","3","26"
"3413","0","0","1","2905387","22"
"3414","2424","0","0","3","26"
"3415","2426","0","0","3","26"
"3416","0.5","0","0.5","0","14"
"3417","0.35","0","0","0","14"
"3418","0.5","0","0.5","0","14"
"3419","0.65","0","0","0","14"
"3420","3866752","0","2","0","1"
"3421","2437","0","0","1","26"
"3422","2431","0","0","1","26"
"3423","2555970","0","0","0","1"
"3424","0.65","0","2","0","14"
"3425","2475","0","0","1","26"
"3426","2436","0","0","2","26"
"3427","2435","0","0","1","26"
"3428","1.51609E+07","0","0","0","1"
"3429","0.15","1","1","0","14"
"3430","2102878","1","1","0","13"
"3431","1.671606E+07","0","0","0","1"
"3432","2441","0","0","1","26"
"3433","1.671168E+07","8","400","128","8"
"3434","327756","0","0","0","1"
"3435","2448","0","0","0","26"
"3436","1.431424E+07","0","0","0","1"
"3437","2449","0","0","1","26"
"3438","2161","0","0","0","1"
"3439","0.7","4","0","-2.147484E+09","14"
"3440","151","0","0","0","9"
"3441","151","0","0","0","9"
"3442","9074175","0","1","0","1"
"3443","0","0","0","0","11"
"3444","2558","0","0","2","26"
"3445","2235","0","0","1","26"
"3446","2452","0","0","3","26"
"3447","2464","0","0","0","26"
"3448","2455","0","0","2","26"
"3449","2465","0","0","3","26"
"3450","169","0","0","0","9"
"3451","170","0","0","0","9"
"3452","2471","0","0","3","26"
"3453","1.67117E+07","8","400","128","8"
"3454","160","0","0","0","9"
"3455","1.643213E+07","0","0","0","1"
"3456","1.674855E+07","0","0","0","1"
"3457","0","0","0","0","11"
"3458","1.35803E+07","0","0","0","1"
"3459","2476","0","0","3","26"
"3460","1","0","0","0","2"
"3461","1032","0","0","3","26"
"3462","172","0","0","-2.147484E+09","9"
"3463","173","0","0","-2.147484E+09","9"
"3464","7829503","0","0","0","1"
"3465","0.2","0","0","0","14"
"3466","0.5","0","0.5","0","14"
"3467","2483","0","0","0","26"
"3468","1.61933E+07","20","2000","100","8"
"3469","1.649105E+07","20","600","100","8"
"3470","1","0","1","0","21"
"3471","0","0","0.5","0","21"
"3472","2490","0","0","1","26"
"3473","174","0","0","0","9"
"3474","174","0","0","0","9"
"3475","2498","0","0","3","26"
"3476","1.51609E+07","0","0","0","1"
"3477","1.51609E+07","0","0","0","1"
"3478","2414","0","0","1","26"
"3479","2414","0","0","1","26"
"3480","0","0","0.75","0","21"
"3481","0.75","1","0.75","0","21"
"3482","1.435522E+07","20","1000","100","8"
"3483","1.166541E+07","0","250","0","8"
"3484","0","50442","0","0","17"
"3485","2498","0","0","2","26"
"3486","2501","0","0","1","26"
"3487","0","0","0.75","0","21"
"3488","0","27524","0","0","17"
"3489","176","0","0","0","9"
"3490","65325","8","400","128","8"
"3491","178","0","0","-2.147484E+09","9"
"3492","1.67117E+07","8","400","128","8"
"3493","1.599082E+07","0","0","0","1"
"3494","1.67117E+07","8","400","128","8"
"3495","1.573352E+07","20","600","100","8"
"3496","1413","8","400","128","8"
"3497","131","0","0","0","9"
"3498","1.671606E+07","0","0","0","1"
"3499","0","0","0","0","11"
"3500","1939732","0","0","0","1"
"3501","1.435522E+07","20","1000","100","8"
"3502","0","0","0.75","0","21"
"3503","0","0","0.75","-2.147484E+09","21"
"3504","8","0","0","0","9"
"3505","180","0","0","0","9"
"3506","0","18826","0","0","17"
"3507","1.51609E+07","0","0","0","1"
"3508","2503","0","0","3","26"
"3509","1.055648E+07","0","0","0","1"
"3510","2504","0","0","3","26"
"3511","1.055648E+07","0","0","0","1"
"3512","0","0","0.1","0","21"
"3513","1.560192E+07","0","0","0","1"
"3514","1.594658E+07","0","0","0","1"
"3515","1.435522E+07","20","1000","100","8"
"3516","181","0","0","0","9"
"3517","41","0","0","1","26"
"3518","2505","0","0","2","26"
"3519","1.361915E+07","0","0","0","10"
"3520","182","0","0","0","9"
"3521","183","0","0","0","9"
"3522","1.340882E+07","0","0","0","1"
"3523","4306488","0","0","0","1"
"3524","4306488","0","0","0","1"
"3525","2419","0","0","3","26"
"3526","185","0","0","0","9"
"3527","184","0","0","-2.147484E+09","9"
"3528","32238","0","0","0","1"
"3529","2093","0","0","3","26"
"3530","131","0","0","0","9"
"3531","151","0","0","0","9"
"3532","2207","0","0","3","26"
"3533","1.54793E+07","0","6","0","13"
"3534","-2.147484E+09","80818","0","0","17"
"3535","151","0","0","0","9"
"3536","4260008","0","0","0","1"
"3537","0","0","0","0","1"
"3538","6052956","0","0","0","1"
"3539","0.3","2","1","0","14"
"3540","1.657144E+07","20","600","100","8"
"3541","7688704","0","0","0","1"
"3542","131","0","0","0","9"
"3543","1.207636E+07","0","0","0","1"
"3544","4620","0","0","1","26"
"3545","1.671168E+07","8","400","128","8"
"3546","0","0","0","0","1"
"3547","0.75","0","0","0","14"
"3548","2960685","0","0","0","1"
"3549","0","0","0.25","0","21"
"3550","2516","0","0","1","26"
"3551","1.170048E+07","0","0","0","1"
"3552","0.9","0","0","0","14"
"3553","0","0","0.5","0","21"
"3554","4342338","0","0","0","1"
"3555","2022","0","0","1","26"
"3556","0.3","2","1","0","14"
"3557","1.648412E+07","20","10000","100","8"
"3558","52479","0","1000","0","8"
"3559","57599","0","0","1","8"
"3560","2522","0","0","3","26"
"3561","2525","0","0","0","26"
"3562","400","0","0","1","26"
"3563","1.068237E+07","0","0","0","1"
"3564","2347","0","0","2","26"
"3565","0.4","0","0","0","14"
"3566","5791683","0","0","0","1"
"3567","120","119","223","0","7"
"3568","0.3","2","1","0","14"
"3569","1.671168E+07","8","400","128","8"
"3570","1.135642E+07","0","0","0","1"
"3571","1.661323E+07","0","0","0","1"
"3572","30690","0","0","0","1"
"3573","0.9","0","0","0","14"
"3574","30690","0","0","0","1"
"3575","0.9","0","0","0","14"
"3576","186","0","0","0","9"
"3577","0","0","0","0","11"
"3578","1.54793E+07","1","1","-2.147484E+09","13"
"3579","1.674509E+07","77451","2","0","17"
"3580","207","0","0","0","9"
"3581","1.671168E+07","20","600","100","8"
"3582","187","0","0","0","9"
"3583","176","0","0","0","9"
"3584","151","0","0","0","9"
"3585","0","0","0.8","-2.147484E+09","21"
"3586","188","0","0","0","9"
"3587","1.54793E+07","0","3","0","13"
"3588","1.54793E+07","0","1","0","13"
"3589","176","0","0","0","9"
"3590","2530","0","0","1","26"
"3591","1.667776E+07","0","0","0","1"
"3592","0.7","0","0","0","14"
"3593","1.671168E+07","8","400","128","8"
"3594","1.489126E+07","20","600","100","8"
"3595","724","0","0","1","26"
"3596","176","0","0","0","9"
"3597","141","0","0","0","9"
"3598","0","0","1","2905387","22"
"3599","191","0","0","0","9"
"3600","190","0","0","-2.147484E+09","9"
"3601","208","0","0","0","9"
"3602","192","0","0","-2.147484E+09","9"
"3603","151","0","0","0","9"
"3604","194","0","0","0","9"
"3605","199","0","0","0","9"
"3606","0","0","0.5","0","21"
"3607","194","0","0","0","9"
"3608","0","0","0","0","11"
"3609","8913072","0","0","0","1"
"3610","1.271302E+07","20","600","100","8"
"3611","2532","0","0","0","26"
"3612","1.54793E+07","0","6","0","13"
"3613","0","0","0","0","26"
"3614","8930980","0","0","0","1"
"3615","2949196","0","0","0","1"
"3616","1.632542E+07","20","600","100","8"
"3617","8545051","0","0","0","1"
"3618","1547","0","0","3","26"
"3619","0","0","1","0","21"
"3620","0","0","0","0","11"
"3621","196","0","0","0","9"
"3622","1.51609E+07","0","0","0","1"
"3623","1.51609E+07","0","0","0","1"
"3624","0","0","0","0","11"
"3625","194","0","0","0","9"
"3626","0","0","0.5","0","21"
"3627","1","1","1","0","21"
"3628","200","0","0","0","9"
"3629","201","0","0","0","9"
"3630","1.54793E+07","0","6","0","13"
"3631","1.116759E+07","0","0","0","1"
"3632","2538","0","0","3","26"
"3633","0.5","0","0","0","14"
"3634","0","0","0.5","0","21"
"3635","159","0","0","0","9"
"3636","158","0","0","0","9"
"3637","158","0","0","0","9"
"3638","202","0","0","-2.147484E+09","9"
"3639","0","0","0","2905387","22"
"3640","0","0","1","2905387","22"
"3641","176","0","0","0","9"
"3642","517","0","0","1","26"
"3643","204","0","0","0","9"
"3644","2374","0","0","1","26"
"3645","31258","0","0","0","1"
"3646","0","60618","0","0","17"
"3647","176","0","0","0","9"
"3648","7","0","0","3","26"
"3649","7","0","0","3","26"
"3650","1","0","0","0","11"
"3651","176","0","0","0","9"
"3652","141","0","0","0","9"
"3653","0.15","0.15","1","0","21"
"3654","0","0","1","2905387","22"
"3655","158","0","0","0","9"
"3656","141","0","0","0","9"
"3657","0","0","1","-2.147484E+09","21"
"3658","0","0","0","0","1"
"3659","7654655","0","0","0","1"
"3660","0.7","0","0","-2.147484E+09","14"
"3661","2541","0","0","3","26"
"3662","1.271302E+07","20","600","100","8"
"3663","2","0","0","0","11"
"3664","0","8201","0","0","17"
"3665","0","20056","0","0","17"
"3666","0","1297","0","0","17"
"3667","-2.147484E+09","81325","-2.147484E+09","-2.147484E+09","17"
"3668","0","10461","-2.147484E+09","0","17"
"3669","0","60617","0","0","17"
"3670","0","60618","0","0","17"
"3671","0","64310","0","0","17"
"3672","0","81326","-2.147484E+09","0","17"
"3673","0","60619","879511","0","17"
"3674","0","81324","0","0","17"
"3675","0","64309","0","0","17"
"3676","210","0","0","0","9"
"3677","1.389374E+07","0","0","3","1"
"3678","2546","0","0","3","26"
"3679","2547","0","0","1","26"
"3680","211","0","0","0","9"
"3681","1.675622E+07","0","0","6","1"
"3682","1.055155E+07","0","0","0","1"
"3683","0.65","0","2","0","14"
"3684","0","52052","0","0","17"
"3685","1.51609E+07","0","0","0","1"
"3686","1.271302E+07","20","600","100","8"
"3687","2559","0","0","1","26"
"3688","2559","0","0","3","26"
"3689","2560","0","0","3","26"
"3690","216","0","0","0","9"
"3691","215","0","0","0","9"
"3692","1.46428E+07","0","0","0","1"
"3693","141","0","0","0","9"
"3694","176","0","0","0","9"
"3695","1.017754E+07","1","1","5","1"
"3696","1","1","1","2905387","22"
"3697","6579300","0","0","0","1"
"3698","554752","1","1","-2.147484E+09","13"
"3699","1","1","0.7","0","21"
"3700","1.671168E+07","0","0","0","1"
"3701","5592898","0","0","0","1"
"3702","215","0","0","0","9"
"3703","2039","0","0","0","26"
"3704","220","0","0","0","9"
"3705","1.671606E+07","0","0","0","1"
"3706","221","0","0","0","9"
"3707","2388","0","0","3","26"
"3708","222","0","0","0","9"
"3709","222","0","0","0","9"
"3710","223","0","0","0","9"
"3711","0","62814","0","0","17"
"3712","0","62816","0","0","17"
"3713","0","64311","0","0","17"
"3714","0","81326","0","0","17"
"3715","2561","0","0","0","26"
"3716","1","1","1","0","21"
"3717","224","0","0","0","9"
"3718","1","1","1","0","21"
"3719","225","0","0","0","9"
"3720","0","0","0.5","0","21"
"3721","0","0","0","2905387","22"
"3722","0.3","2","0","0","14"
"3723","2563","0","0","0","26"
"3724","1","0","0.2","0","21"
"3725","1.677696E+07","1","4000","0","8"
"3726","0","0","0","0","26"
"3727","0","0","0","0","26"
"3728","0","0","0","0","26"
"3729","0","0","0","0","26"
"3730","2564","0","0","1","26"
"3731","0","0","0.8","0","21"
"3732","0","0","0.3","0","21"
"3733","1084","0","0","1","26"
"3734","2570","0","0","3","26"
"3735","226","0","0","0","9"
"3736","2576","0","0","1","26"
"3737","1.677696E+07","0","1000","255","8"
"3738","1.651383E+07","0","1000","255","8"
"3739","1.677696E+07","0","2000","255","8"
"3740","1.677696E+07","0","2000","255","8"
"3741","1.671168E+07","0","2000","0","8"
"3742","1.54793E+07","0","6","0","13"
"3743","227","0","0","0","9"
"3744","2573","0","0","3","26"
"3745","2516","0","0","3","26"
"3746","2361","0","0","3","26"
"3747","2394","0","0","3","26"
"3748","2575","0","0","3","26"
"3749","228","0","0","0","9"
"3750","229","0","0","100","9"
"3751","2405","0","0","3","26"
"3752","1.626347E+07","20","600","100","8"
"3753","1.671168E+07","0","0","10","1"
"3754","1.626347E+07","20","600","100","8"
"3755","2575","0","0","3","26"
"3756","0","0","0","1.677722E+07","18"
"3757","0","0","0.75","0","21"
"3758","0.4","0","0","0","14"
"3759","0","0","1","0","21"
"3760","2576","0","0","3","26"
"3761","0","0","0.5","-2.147484E+09","21"
"3762","2580","0","0","3","26"
"3763","1.055648E+07","0","0","0","1"
"3764","1","10","1","0","21"
"3765","1.597142E+07","20","450","60","8"
"3766","723","0","0","0","9"
"3767","231","0","0","0","9"
"3768","0.6","0","0","0","14"
"3769","232","0","0","0","9"
"3770","158","0","0","0","9"
"3771","2583","0","0","0","26"
"3772","2347","0","0","1","26"
"3773","225","0","0","0","9"
"3774","0","88849","0","0","17"
"3775","0","88850","0","0","17"
"3776","1.017455E+07","0","1","0","1"
"3777","327680","0","6","0","13"
"3778","0","0","0.5","0","21"
"3779","157","0","0","1","26"
"3780","2586","0","0","1","26"
"3781","0","0","0","0","11"
"3782","1","0","1","0","21"
"3783","1.671169E+07","20","600","100","8"
"3784","176","0","0","0","9"
"3785","0.56","1","1","0","11"
"3786","1","0","1","0","21"
"3787","2587","0","0","2","26"
"3788","1.000062E+07","20","600","100","8"
"3789","2590","0","0","1","26"
"3790","9727707","0","0","0","1"
"3791","2591","0","0","1","26"
"3792","2590","0","0","1","26"
"3793","2593","0","0","2","26"
"3794","0","0","0.7","0","21"
"3795","0","0","0.55","0","21"
"3796","0","0","0.4","0","21"
"3797","9","0","0","1","26"
"3798","1","1","1","0","21"
"3799","6974058","0","0","0","1"
"3800","0","0","0","0","11"
"3801","2374","0","0","3","26"
"3802","2597","0","0","3","26"
"3803","2598","0","0","2","26"
"3804","0","0","0.75","0","21"
"3805","3","0","0.75","0","21"
"3806","2603","0","0","1","26"
"3807","2605","0","0","1","26"
"3808","894","0","0","3","26"
"3809","6","6","0.5","0","21"
"3810","1.212416E+07","0","0","0","1"
"3811","201","0","0","0","9"
"3812","1.281422E+07","0","0","0","1"
"3813","1.672222E+07","0","0","0","1"
"3814","0","0","0","0","11"
"3815","0","88805","0","0","17"
"3816","0","88804","0","0","17"
"3817","0","2179","0","0","17"
"3818","723","0","0","1","26"
"3819","0","89156","0","0","17"
"3820","0","89157","0","0","17"
"3821","-2.147484E+09","10756","0","0","17"
"3822","0","67457","-2.147484E+09","0","17"
"3823","7895160","0","0","0","1"
"3824","2607","0","0","3","26"
"3825","2607","0","0","0","26"
"3826","1.560192E+07","0","0","0","1"
"3828","2610","0","0","3","26"
"3829","2590","0","0","1","26"
"3830","1.677696E+07","0","500","0","8"
"3831","48383","0","1","0","1"
"3832","1","0","0.7","1.677722E+07","18"
"3833","1.671168E+07","8","400","128","8"
"3834","1","1","0.8","0","21"
"3835","1","1","1","0","21"
"3836","0","81320","0","0","17"
"3837","0","81321","0","0","17"
"3838","2597","0","0","3","26"
"3839","1.671168E+07","100","600","255","8"
"3840","7895160","0","0","0","1"
"3841","15","0","0","0","25"
"3842","16","0","0","-2.147484E+09","25"
"3843","1","1","0.5","2905387","22"
"3844","0.2","0","0","0","14"
"3845","0.95","0","0","0","14"
"3846","1","1","0","0","7"
"3847","0.3","2","1","1.677722E+07","18"
"3848","1.677696E+07","0","500","0","8"
"3849","2615","0","0","3","26"
"3850","8196471","0","0","0","1"
"3851","5","0","0","0","11"
"3852","0.5","0","0","0","14"
"3853","244","0","0","0","9"
"3854","0","62814","0","0","17"
"3855","0","62816","0","0","17"
"3856","0","60617","0","0","17"
"3857","0","81325","0","0","17"
"3858","-2.147484E+09","64310","-2.147484E+09","-2.147484E+09","17"
"3859","0","60620","0","0","17"
"3860","0","64311","0","0","17"
"3861","0","60618","0","0","17"
"3862","0","13606","0","0","17"
"3863","0","62484","0","0","17"
"3864","0","49269","0","0","17"
"3865","0","5107","0","0","17"
"3866","1.671168E+07","8","400","128","8"
"3867","2441","0","0","3","26"
"3868","2590","0","0","1","26"
"3869","0","80403","0","0","17"
"3870","0","80403","0","128","17"
"3871","376","0","0","0","26"
"3872","1.24083E+07","15","400","96","8"
"3873","0.8","0","0","0","14"
"3874","1.626347E+07","20","600","100","8"
"3875","1.55071E+07","0","0","0","1"
"3876","1.51609E+07","0","0","0","1"
"3877","2521","0","0","1","26"
"3878","2618","0","0","1","26"
"3879","2626","0","0","0","26"
"3880","2623","0","0","0","26"
"3881","1.626347E+07","20","600","100","8"
"3882","0","88805","0","0","17"
"3883","0","88804","0","0","17"
"3884","1.671168E+07","20","2000","100","8"
"3885","245","0","0","0","9"
"3886","176","0","0","0","9"
"3887","2627","0","0","3","26"
"3888","0","0","0","0","11"
"3889","1.157862E+07","0","0","0","1"
"3890","1.671168E+07","10","3000","255","8"
"3891","1.671168E+07","10","2000","255","8"
"3892","1.671168E+07","10","1000","255","8"
"3893","1.671168E+07","10","1000","255","8"
"3894","2610","0","0","3","26"
"3895","697856","0","1","-2.147484E+09","13"
"3896","39168","0","1","0","1"
"3897","0.5","1","2","0","15"
"3898","1.212416E+07","1","1","0","13"
"3899","1.200333E+07","1","1","-2.147484E+09","13"
"3900","6902235","0","0","0","1"
"3901","44062","0","0","0","1"
"3902","678","0","0","0","26"
"3903","2632","0","0","0","26"
"3904","2632","0","0","3","26"
"3905","1649","0","0","0","26"
"3906","1649","0","0","0","26"
"3907","2636","0","0","0","26"
"3908","2631","0","0","2","26"
"3909","1.61933E+07","20","2000","100","8"
"3910","1","1","0.75","2905387","22"
"3911","9697024","0","0","0","1"
"3912","1.54793E+07","0","6","0","13"
"3913","1.675046E+07","0","6","0","13"
"3914","0","81326","0","0","17"
"3915","0","81325","-2.147484E+09","0","17"
"3916","1","1","0","1.677722E+07","18"
"3917","1.120666E+07","1","1","0","13"
"3918","1.54793E+07","0","1","-2.147484E+09","13"
"3919","1.310072E+07","0","0","0","1"
"3920","7573563","0","0","0","1"
"3921","1.67117E+07","8","400","128","8"
"3922","3355443","1","1","0","13"
"3923","246","0","0","0","9"
"3924","247","0","0","-2.147484E+09","9"
"3925","2","0","0","0","7"
"3926","1997","0","2","2","1"
"3927","5","2","0.75","0","21"
"3928","0","0","0","0","11"
"3929","2279708","0","0","0","1"
"3930","0.6","0","0","0","14"
"3931","6176000","0","1","0","1"
"3932","2644","0","0","2","26"
"3933","141","0","0","0","9"
"3934","176","0","0","0","9"
"3935","6052956","0","0","0","1"
"3936","176","0","0","0","9"
"3937","1986","0","0","1","26"
"3938","2586","0","0","3","26"
"3939","249","0","0","0","9"
"3940","248","0","0","0","9"
"3941","0","0","0","0","14"
"3942","37105","0","1","-2.147484E+09","13"
"3943","6881408","2","1","0","13"
"3944","48115","2","1","0","13"
"3945","5204976","1","1","0","13"
"3946","0.5","0","0","0","14"
"3947","1.271302E+07","20","600","100","8"
"3948","1.336934E+07","2","1","0","13"
"3949","2645","0","0","3","26"
"3950","43264","0","0","0","1"
"3951","39424","0","0","0","1"
"3952","1.676025E+07","0","0","0","1"
"3953","3145833","2","1","0","13"
"3954","5177494","2","1","0","13"
"3955","8192210","1","1","0","13"
"3956","4784301","2","1","0","13"
"3957","1.675563E+07","0","0","0","1"
"3958","2590","0","0","1","26"
